,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Apr, 2021",Disposal -  Market Sale,Suraj Kumar,Designated Person,Qty 1000,Price 1280,% Traded 0.00,Post Tnx Hold. 0.01%
1,"02 Apr, 2021",Disposal -  Market Sale,Sunil Mahendru,Designated Person,Qty 1500,Price 1442,% Traded 0.00,Post Tnx Hold. 0.01%
2,"22 Mar, 2021",Acquisition -  ESOP,Arun Agarwal,Designated Person,Qty 8750,Price 1219.6,% Traded 0.01,Post Tnx Hold. 0.08%
3,"12 Mar, 2021",Disposal -  Market Sale,Romi Sehgal,Director,Qty 1000,Price 1360,% Traded 0.00,Post Tnx Hold. 0.06%
4,"09 Mar, 2021",Disposal -  Market Sale,Payal Jain,Designated Person,Qty 2500,Price 1277.6,% Traded 0.00,Post Tnx Hold. 0.01%
5,"09 Mar, 2021",Disposal -  Market Sale,Shiv Kumar Bansal,Designated Person,Qty 9000,Price 1353.44,% Traded 0.01,Post Tnx Hold. 0.11%
6,"24 Apr, 2021",Acquisition -  Market,"SMALLCAP World Fund, Inc",Other,Qty 459295,Price 0,% Traded 0.36,Post Tnx Hold. 5.04%
7,"18 Feb, 2021",Disposal -  Market / Inter-se Transfer,APL Infrastructure Pvt Ltd & Others,Promoter,Qty 5265000,Price 0,% Traded 4.22,Post Tnx Hold. 34.81%
8,"06 Sep, 2020",Disposal -  Market,Kitara PIIN 1001,Other,Qty 831759,Price 0,% Traded 3.34,Post Tnx Hold. 8.72%
9,"29 Jan, 2020",Disposal -  Market,DSP Trustee Private Ltd on behalf of schemes of DSP Mutual Fund,Other,Qty 31922,Price 0,% Traded 0.13,Post Tnx Hold. 3.28%
10,"30 Oct, 2019",Acquisition -  Conv. of Warrants,APL Infrastructure Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 2.02,Post Tnx Hold. 36.06%
11,"16 Apr, 2019",Acquisition -  Pref. Allotment,APL Infrastructure Pvt Ltd & PACs,Promoter,Qty 400000,Price 0,% Traded 1.65,Post Tnx Hold. 38.1%
