,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Disposal -  ESOS,BAJAJ FINSERV ESOP TRUST,Other,Qty 884,Price 5282.11,% Traded 0.00,Post Tnx Hold. 0.17%
1,"31 May, 2021",Disposal -  ESOS,BAJAJ FINSERV ESOP TRUST,Other,Qty 761,Price 5241.01,% Traded 0.00,Post Tnx Hold. 0.17%
2,"31 May, 2021",Acquisition -  ESOS,GURNEESH SINGH KHURANA,Designated Person,Qty 748,Price 4702.05,% Traded 0.00,Post Tnx Hold. 0%
3,"31 May, 2021",Disposal -  ESOS,BAJAJ FINSERV ESOP TRUST,Other,Qty 500,Price 7454.7,% Traded 0.00,Post Tnx Hold. 0.17%
4,"31 May, 2021",Disposal -  ESOS,BAJAJ FINSERV ESOP TRUST,Other,Qty 293,Price 6252.18,% Traded 0.00,Post Tnx Hold. 0.17%
5,"31 May, 2021",Disposal -  ESOS,BAJAJ FINSERV ESOP TRUST,Other,Qty 748,Price 4702.05,% Traded 0.00,Post Tnx Hold. 0.17%
6,"21 Jun, 2019",Acquisition -  Off Market,Maharashtra Scooters Ltd,Promoter,Qty 3725740,Price 0,% Traded 2.34,Post Tnx Hold. 60.71%
7,"19 Mar, 2018",Disposal -  Gift,Anant Bajaj,Promoter,Qty 467000,Price 0,% Traded 0.29,Post Tnx Hold. 0.02%
8,"19 Mar, 2018",Acquisition -  Gift,Kiran Bajaj,Promoter,Qty 773800,Price 0,% Traded 0.49,Post Tnx Hold. 0.62%
9,"19 Mar, 2018",Disposal -  Gift,Kumue Bajaj,Promoter,Qty 500000,Price 0,% Traded 0.31,Post Tnx Hold. 0.23%
10,"19 Mar, 2018",Disposal -  Gift,Madhur Bajaj,Promoter,Qty 363300,Price 0,% Traded 0.23,Post Tnx Hold. 0.68%
11,"19 Mar, 2018",Acquisition -  Gift,Minal Bajaj,Promoter,Qty 89500,Price 0,% Traded 0.06,Post Tnx Hold. 0.1%
