,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"08 Aug, 2020",Disposal -  Buy Back,Vivek Saraogi,Promoter & Director,Qty 1529881,Price 180,% Traded 0.70,Post Tnx Hold. 16.35%
1,"08 Aug, 2020",Disposal -  Buy Back,Vivek Saraogi (HUF),Promoter,Qty 6547,Price 180,% Traded 0.00,Post Tnx Hold. 0.07%
2,"08 Aug, 2020",Disposal -  Buy Back,Kamal Nayan Saraogi (HUF),Promoter,Qty 302723,Price 180,% Traded 0.14,Post Tnx Hold. 3.25%
3,"08 Aug, 2020",Disposal -  Buy Back,Meenakshi Mercentiles Limited,Promoter,Qty 287851,Price 180,% Traded 0.13,Post Tnx Hold. 3.09%
4,"08 Aug, 2020",Disposal -  Buy Back,Udaipur Cotton Mills Co. Limited,Promoter,Qty 252568,Price 180,% Traded 0.11,Post Tnx Hold. 2.71%
5,"08 Aug, 2020",Disposal -  Buy Back,Novel Suppliers Private Limited,Promoter,Qty 157657,Price 180,% Traded 0.07,Post Tnx Hold. 1.69%
6,"22 Sep, 2020",Acquisition -  Market,Nippon Life India Trustee Ltd,Other,Qty 368900,Price 0,% Traded 0.17,Post Tnx Hold. 5.15%
7,"31 Dec, 2019",Acquisition -  -,Vivek Saraogi & Novei Suppliers Pvt Ltd,Other,Qty 2460000,Price 0,% Traded 1.12,Post Tnx Hold. 0%
8,"20 Dec, 2019",Acquisition -  ,Vivek Saraogi & Novel Suppliers Pvt Ltd,Promoter,Qty 1530000,Price 0,% Traded 1.12,Post Tnx Hold. 0%
9,"05 Nov, 2019", -,Sumedha Saraogi,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"30 Jul, 2019", -,Sumedha Saraogi,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"31 May, 2019",Disposal -  Market Sale,Aadi Financial Advisors LLP,Other,Qty 733769,Price 0,% Traded 0.32,Post Tnx Hold. 4.7%
