,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 May, 2021",Acquisition -  Inter-se Transfer,The Bombay Burmah Trading Corporation Limited,Promoter,Qty 43000,Price 77.8,% Traded 0.02,Post Tnx Hold. 16.77%
1,"13 May, 2021",Disposal -  Inter-se Transfer,Jer Mavis Settlement No. II,Promoter,Qty 43000,Price 77.8,% Traded 0.02,Post Tnx Hold. 0.56%
2,"08 Mar, 2021",Disposal -  Inter-se Transfer,Jer Mavis Settlement No. II,Promoter,Qty 40000,Price 87.2,% Traded 0.02,Post Tnx Hold. 0.58%
3,"08 Mar, 2021",Disposal -  Inter-se Transfer,Nowrosjee Wadia & Sons Ltd.,Promoter Group,Qty 400000,Price 87.2,% Traded 0.19,Post Tnx Hold. 0.02%
4,"08 Mar, 2021",Acquisition -  Inter-se Transfer,Baymanco Investments Limited,Promoter Group,Qty 825000,Price 87.33,% Traded 0.40,Post Tnx Hold. 25.96%
5,"08 Mar, 2021",Acquisition -  Inter-se Transfer,The Bombay Burmah Trading Corporation Limited,Promoter,Qty 40000,Price 87.54,% Traded 0.02,Post Tnx Hold. 16.75%
6,"21 Jan, 2021",Acquisition -  ,Baymanco Investments Ltd,,Qty 6100000,Price 0,% Traded 2.95,Post Tnx Hold. 0%
7,"21 Jan, 2021",Acquisition -  Block Deal,Baymanco Investments Ltd,Promoter,Qty 5470000,Price 0,% Traded 2.65,Post Tnx Hold. 25.56%
8,"11 Jan, 2021",Acquisition -  ,Baymanco Investments Ltd,Promoter,Qty 6100000,Price 0,% Traded 2.95,Post Tnx Hold. 0%
9,"25 Jun, 2020",Acquisition -  Block Deal,Heera Holdings & Leasing Pvt Ltd,Promoter,Qty 1495450,Price 0,% Traded 0.72,Post Tnx Hold. 0.8%
10,"25 Jun, 2020",Acquisition -  Block Deal,Nidhivan Investment & Trading Co Pvt Ltd,Promoter,Qty 1560470,Price 0,% Traded 0.76,Post Tnx Hold. 0.92%
11,"25 Jun, 2020",Disposal -  Block Deal,Nowrosjee Wadia & Sons Ltd,Promoter,Qty 4359611,Price 0,% Traded 2.11,Post Tnx Hold. 1.66%
