,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"25 Feb, 2021",Acquisition -  Inter-se Transfer,ROBERT BOSCH INTERNATIONALE BETEILIGUNGEN AG,Promoter Group,Qty 19984324,Price 14742.6,% Traded 67.77,Post Tnx Hold. 67.76%
1,"25 Feb, 2021",Disposal -  Inter-se Transfer,Robert Bosch GmbH,Promoter,Qty 19984324,Price 14742.6,% Traded 67.77,Post Tnx Hold. 0%
2,"17 Dec, 2019",Disposal -  Inter-se Transfer,Robert Bosch GmbH,Promoter,Qty 366900,Price 14987.55,% Traded 1.24,Post Tnx Hold. 67.76%
3,"17 Dec, 2019",Acquisition -  Inter-se Transfer,Robert Bosch Engineering and Business Solutions Private Ltd,Promoter,Qty 366900,Price 14987.55,% Traded 1.24,Post Tnx Hold. 2.78%
4,"27 Feb, 2019",Disposal -  Buy Back,Robert Bosch Gmbh,Promoter,Qty 707481,Price 21000,% Traded 2.32,Post Tnx Hold. 69%
5,"21 Dec, 2016",Disposal -  Market / Inter-se Transfer,Robert Bosch GmbH,Promoter,Qty 454000,Price 0.02,% Traded 1.49,Post Tnx Hold. 68.99%
6,"02 Mar, 2021",Acquisition -  ,Robert Bosch Internationale Beteiligungen AG,,Qty 19984324,Price 0,% Traded 67.76,Post Tnx Hold. 0%
7,"25 Feb, 2021",Disposal -  Inter-se Transfer,Robert Bosch GmbH & Others,Promoter,Qty 19984324,Price 0,% Traded 67.76,Post Tnx Hold. 70.54%
8,"25 Feb, 2021",Acquisition -  Inter-se Transfer,Robert Bosch GmbH & Others,Promoter,Qty 19984324,Price 0,% Traded 67.76,Post Tnx Hold. 70.54%
9,"25 Feb, 2021",Acquisition -  Inter-se Transfer,Robert Bosch International Beteiligungen AG & Others,Promoter,Qty 19984324,Price 0,% Traded 67.76,Post Tnx Hold. 70.54%
10,"18 Feb, 2021",Acquisition -  ,Robert Bosch Internationale Beteiligungen AG,Promoter,Qty 19984324,Price 0,% Traded 67.76,Post Tnx Hold. 0%
