,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"30 Jun, 2017",Disposal -  Market,Canara Bank,Other,Qty 2593446,Price 1660,% Traded 8.80,Post Tnx Hold. 0.09%
1,"06 Apr, 2017",Disposal -  Market,Divyesh Shah,Employee,Qty 801,Price 1498.13,% Traded 0.00,Post Tnx Hold. 0%
2,"05 Apr, 2017",Disposal -  Market,Priti  Agrawal,Employee,Qty 300,Price 1640,% Traded 0.00,Post Tnx Hold. 0.04%
3,"05 Apr, 2017",Disposal -  Market,P. Sandeep,Employee,Qty 2000,Price 1615.02,% Traded 0.01,Post Tnx Hold. 0.01%
4,"04 Apr, 2017",Disposal -  Market,P Sudhakar,Employee,Qty 900,Price 1635,% Traded 0.00,Post Tnx Hold. 0%
5,"03 Apr, 2017",Disposal -  Market,Milind Raje,Employee,Qty 1000,Price 162.31,% Traded 0.00,Post Tnx Hold. 0%
6,"18 May, 2021",Acquisition -  Market,Phaeacian Accent International Value Fund Kisale Navigator Fund,Promoter,Qty 35196,Price 0,% Traded 0.12,Post Tnx Hold. 5.03%
7,"18 May, 2021",Acquisition -  Market,Phaeacian Accent International Value Fund & Kisale Navigator Fund (Revised),Other,Qty 35196,Price 0,% Traded 0.12,Post Tnx Hold. 5.03%
8,"06 Nov, 2020",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 600052,Price 0,% Traded 2.03,Post Tnx Hold. 3.02%
9,"16 Oct, 2020",Disposal -  Market,L&T Mutual Fund,Other,Qty 588571,Price 0,% Traded 2.00,Post Tnx Hold. 3.18%
10,"23 Jun, 2020",Acquisition -  Market,Bajaj Holdings & Investment Ltd & Bajaj Alianz Life Insurance Company Ltd,Other,Qty 185970,Price 0,% Traded 0.63,Post Tnx Hold. 5.47%
11,"12 Feb, 2020",Acquisition -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 35000,Price 0,% Traded 0.11,Post Tnx Hold. 5.06%
