,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Jun, 2017",Acquisition -  Inter-se Transfer,Castrol Ltd UK,Promoter,Qty 541896,Price 411,% Traded 0.05,Post Tnx Hold. 51%
1,"20 Jun, 2017",Disposal -  Inter-se Transfer,BP Mauritius Ltd,Promoter,Qty 541896,Price 411,% Traded 0.05,Post Tnx Hold. 0%
2,"20 Sep, 2016",Disposal -  Market,Castrol Ltd,Promoter,Qty 42190970,Price 432.47,% Traded 4.27,Post Tnx Hold. 50.89%
3,"19 May, 2016",Disposal -  Market,Castrol Ltd,Promoter,Qty 56874538,Price 3.61,% Traded 5.75,Post Tnx Hold. 59.42%
4,"27 Jan, 2021",Acquisition -  Market Purchase,Life Insurance Corporation of India,Other,Qty 19786817,Price 0,% Traded 2.00,Post Tnx Hold. 11.05%
5,"27 Jan, 2018",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 20171196,Price 0,% Traded 2.03,Post Tnx Hold. 9.05%
6,"19 Jun, 2017",Acquisition -  Inter-se Transfer,"Castrol Ltd,UK & BP Mauritus Ltd",Promoter,Qty 541896,Price 0,% Traded 0.11,Post Tnx Hold. 51%
7,"12 Jun, 2017",Acquisition -  ,Castrol Ltd UK,Promoter,Qty 541896,Price 0,% Traded 0.11,Post Tnx Hold. 0%
8,"05 Apr, 2017",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 9925557,Price 0,% Traded 2.00,Post Tnx Hold. 7.01%
9,"20 Sep, 2016",Disposal -  Market,Castrol Ltd,,Qty 42190970,Price 0,% Traded 8.53,Post Tnx Hold. 50.89%
