,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Dec, 2020",Disposal -  Market Sale,Amarasree K,Directors Immediate Relative,Qty 1000,Price 263.98,% Traded 0.00,Post Tnx Hold. 0.01%
1,"31 Dec, 2020",Disposal -  Market Sale,Amarasree K,Directors Immediate Relative,Qty 9000,Price 264.6,% Traded 0.01,Post Tnx Hold. 0.01%
2,"24 Dec, 2020",Disposal -  Market Sale,CHANDRAHAS KATA,Director,Qty 20000,Price 262.53,% Traded 0.02,Post Tnx Hold. 0%
3,"24 Dec, 2020",Disposal -  Market Sale,AMARASREE K,Directors Immediate Relative,Qty 30000,Price 262.95,% Traded 0.02,Post Tnx Hold. 0.01%
4,"17 Dec, 2020",Disposal -  Market Sale,Paturi Srinivasa Rao,Connected Person,Qty 7695,Price 260.88,% Traded 0.01,Post Tnx Hold. 0.25%
5,"17 Dec, 2020",Disposal -  Market Sale,Paturi Srinivasa Rao,Connected Person,Qty 2305,Price 260.5,% Traded 0.00,Post Tnx Hold. 0.25%
6,"07 Apr, 2020",Disposal -  Market,FMR LLC & FIL Ltd,Other,Qty 467899,Price 0,% Traded 0.35,Post Tnx Hold. 3.08%
7,"31 Jan, 2020",Disposal -  Market,"Smallcap World Fund,Inc.",,Qty 8424265,Price 0,% Traded 6.33,Post Tnx Hold. 0.75%
8,"01 Nov, 2019",Disposal -  Market,FMR LLC & FIL Ltd,Other,Qty 22153,Price 0,% Traded 0.01,Post Tnx Hold. 5.11%
9,"09 Nov, 2017",Acquisition -  Market,FIL Investment Management (Hong Kong) Ltd,Other,Qty 479471,Price 0,% Traded 0.36,Post Tnx Hold. 7.11%
10,"09 Dec, 2016",Acquisition -  Market,FMR LLC & FIL Ltd,Other,Qty 97888,Price 0,% Traded 0.08,Post Tnx Hold. 5.07%
11,"20 Sep, 2016",Acquisition -  Transfer,Challa Ajitha & PACs,Promoter,Qty 1000000,Price 0,% Traded 0.75,Post Tnx Hold. 44.73%
