,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,Mr. Bhavesh Prajapati,Designated Person,Qty 2500,Price 514.68,% Traded 0.00,Post Tnx Hold. 0%
1,"17 Feb, 2021",Disposal -  ESOP,Kesav Kumar Bhaskarla,Designated Person,Qty 3000,Price 361.33,% Traded 0.00,Post Tnx Hold. 0%
2,"21 Dec, 2020",Disposal -  Market Sale,Surrendar Sangar,Designated Person,Qty 6000,Price 285.21,% Traded 0.00,Post Tnx Hold. 0%
3,"17 Dec, 2020",Disposal -  Market Sale,Vinay Surana,Designated Person,Qty 5000,Price 294.3,% Traded 0.00,Post Tnx Hold. 0.01%
4,"15 Dec, 2020",Disposal -  Market Sale,Vinay Surana,Designated Person,Qty 5000,Price 294.3,% Traded 0.00,Post Tnx Hold. 0.01%
5,"02 Jan, 2019",Disposal -  Market,Sapna Agarwal,Other,Qty 35000,Price 132.72,% Traded 0.02,Post Tnx Hold. 0.05%
6,"21 Apr, 2020",Acquisition -  Off Market,APV Tradesol Pvt Ltd  & PACs,Other,Qty 2850393,Price 0,% Traded 1.63,Post Tnx Hold. 8.18%
7,"28 May, 2018",Acquisition -  Market,Gladiolus Property & Investments Pvt Ltd,Other,Qty 1890173,Price 0,% Traded 1.08,Post Tnx Hold. 1.08%
8,"28 May, 2018",Acquisition -  Market,Gainful Multitrade Pvt Ltd,Other,Qty 537348,Price 0,% Traded 0.31,Post Tnx Hold. 4.46%
9,"30 Mar, 2017",Disposal -  Market,Roopam Multitrade Pvt Ltd,Other,Qty 1763274,Price 0,% Traded 1.00,Post Tnx Hold. 3.49%
10,"24 Mar, 2017",Acquisition -  Market,Ithan Creek Master Investors (Cayman) L P,Other,Qty 1740000,Price 0,% Traded 1.00,Post Tnx Hold. 7.51%
