,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 Oct, 2016",Disposal -  Off Market,The President of India acting through the Minsitry of Railways,Promoter,Qty 3257,Price 10,% Traded 0.00,Post Tnx Hold. 56.75%
1,"18 Oct, 2016",Disposal -  Off Market,The President of India,Promoter,Qty 79083,Price 10,% Traded 0.02,Post Tnx Hold. 56.75%
2,"14 Mar, 2016",Disposal -  Market,The President of India acting through the Minsitry of Railways,Promoter,Qty 1949742,Price 10,% Traded 0.40,Post Tnx Hold. 56.79%
3,"11 Mar, 2016",Disposal -  null,The President of India acting through the Minsitry of Railways,Promoter,Qty 7798968,Price 10,% Traded 1.60,Post Tnx Hold. 57.79%
4,"27 May, 2021",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 12312699,Price 0,% Traded 2.02,Post Tnx Hold. 3.6%
5,"01 Dec, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 12386695,Price 0,% Traded 2.03,Post Tnx Hold. 5.62%
6,"06 Nov, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 260000,Price 0,% Traded 0.04,Post Tnx Hold. 5.02%
7,"06 Nov, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 260000,Price 0,% Traded 0.04,Post Tnx Hold. 5.02%
8,"12 Jul, 2018",Disposal -  Market,Aberdeen Asset Management Asia Ltd,Other,Qty 150000,Price 0,% Traded 0.03,Post Tnx Hold. 3.95%
9,"30 Jan, 2018",Disposal -  Market,ICICI Prudential Mutual Fund alongwith Eastspring Investments (Singapore) Ltd & Jackson National Asset Management LLC,Other,Qty 34311,Price 0,% Traded 0.01,Post Tnx Hold. 3.03%
