,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Acquisition -  Market Purchase,Niddodi Subrao Rajan,Director,Qty 1000,Price 1806.37,% Traded 0.00,Post Tnx Hold. 0.01%
1,"03 Jun, 2021",Acquisition -  Market Purchase,Niddodi Subrao Rajan,Director,Qty 1500,Price 1803.62,% Traded 0.00,Post Tnx Hold. 0.01%
2,"31 May, 2021",Disposal -  Market Sale,T. Venkatesan,Designated Person,Qty 200,Price 1896.2,% Traded 0.00,Post Tnx Hold. 0.02%
3,"21 May, 2021",Disposal -  Market Sale,Ajit Aravindaksha Menon,Designated Person,Qty 4000,Price 1809.96,% Traded 0.00,Post Tnx Hold. 0.03%
4,"20 May, 2021",Disposal -  Market Sale,Ajit Aravindaksha Menon,Designated Person,Qty 4000,Price 1756.16,% Traded 0.00,Post Tnx Hold. 0.03%
5,"20 May, 2021",Disposal -  Market Sale,R.K. Agrawal,Designated Person,Qty 1000,Price 1755.32,% Traded 0.00,Post Tnx Hold. 0.01%
6,"14 Nov, 2019",Acquisition -  Market Purchase,Keshav Power Ltd,Promoter,Qty 26100,Price 0,% Traded 0.02,Post Tnx Hold. 54.28%
7,"28 Jun, 2019",Acquisition -  Inter-se Transfer,Kavita Dalmia Parivar Trust & PACs,Promoter,Qty 2591493,Price 0,% Traded 1.34,Post Tnx Hold. 54.26%
8,"28 Jun, 2019",Acquisition -  Inter-se Transfer,J H Dalmia Trust,Promoter,Qty 2591493,Price 0,% Traded 1.34,Post Tnx Hold. 54.26%
9,"27 Jun, 2019",Acquisition -  -,Kavita Dalmia,Other,Qty 1244098,Price 0,% Traded 0.64,Post Tnx Hold. 0%
10,"27 Jun, 2019",Acquisition -  Inter-se Transfer,Kavita Dalmia & PAC,Promoter,Qty 1244098,Price 0,% Traded 0.64,Post Tnx Hold. 54.26%
11,"26 Jun, 2019",Acquisition -  Inter-se Transfer,Kavita Dalmia,Promoter,Qty 594056,Price 0,% Traded 0.31,Post Tnx Hold. 54.26%
