,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Feb, 2021",Disposal -  Market Sale,Triveni Trust,Promoter Group,Qty 4305,Price 737.5,% Traded 0.01,Post Tnx Hold. 61.16%
1,"04 Feb, 2021",Disposal -  Market Sale,Triveni Trust,Promoter Group,Qty 64695,Price 736.02,% Traded 0.14,Post Tnx Hold. 61.03%
2,"04 Feb, 2021",Disposal -  Market Sale,Pushpa Dhanuka trust,Promoter Group,Qty 11800,Price 731.03,% Traded 0.03,Post Tnx Hold. 10.9%
3,"04 Feb, 2021",Disposal -  Market Sale,Pushpa Dhanuka trust,Promoter Group,Qty 2200,Price 732.69,% Traded 0.00,Post Tnx Hold. 10.89%
4,"17 Nov, 2020",Disposal -  Buy Back,Satya Narain Agarwal-HUF,Promoter,Qty 763,Price 1000,% Traded 0.00,Post Tnx Hold. 0.09%
5,"17 Nov, 2020",Disposal -  Buy Back,Harsh Dhanuka,Promoter & Director,Qty 534,Price 1000,% Traded 0.00,Post Tnx Hold. 0.06%
6,"10 Feb, 2021", Release Of Pledge,Pushpa Dhanuka Trust,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 10.89%
7,"10 Feb, 2021", Release Of Pledge,Triveni Trust,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 61.03%
8,"04 Jul, 2020",Acquisition -  Release Of Pledge,Pushpa Dhanuka Trust,Promoter,Qty 3785600,Price 0,% Traded 7.95,Post Tnx Hold. 10.9%
9,"13 Dec, 2019", Pledge Creation,Pushpa Dhanuka Trust,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 10.9%
10,"23 Aug, 2019", Pledge Creation,Triveni Trust,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 61.03%
11,"16 Aug, 2019", Pledge Creation,Pushpa Dhanuka Trust,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 10.9%
