,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021", Invocation Of Pledged,Direct Media Distribution Ventures Private Limited,Promoter,Qty 330000,Price 15.9,% Traded 0.02,Post Tnx Hold. 2.07%
1,"18 May, 2021", Invocation Of Pledged,Direct Media Distribution Ventures Private Limited,Promoter,Qty 24992105,Price 13.2,% Traded 1.36,Post Tnx Hold. 2.09%
2,"12 Jan, 2021", Invocation Of Pledged,DIRECT MEDIA DISTRIBUTION VENTURES PRIVATE LIMITED,Promoter,Qty 16924000,Price 12.8,% Traded 0.92,Post Tnx Hold. 3.45%
3,"12 Jan, 2021", Invocation Of Pledged,VEENA INVESTMENTS PRIVATE LIMITED,Promoter,Qty 5276000,Price 12.8,% Traded 0.29,Post Tnx Hold. 0%
4,"05 Jan, 2021", Invocation Of Pledged,Direct Media Distribution Ventures Private Limited,Promoter,Qty 9281000,Price 13.35,% Traded 0.50,Post Tnx Hold. 4.37%
5,"26 Oct, 2020", Invocation Of Pledged,Direct Media Distribution Ventures Private Limited,Promoter,Qty 27697000,Price 12.25,% Traded 1.50,Post Tnx Hold. 6.71%
6,"17 May, 2021", Market,Direct Media Distribution Ventures Pvt Ltd,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 2.09%
7,"24 Oct, 2020",Disposal -  Market,Direct Media Distribution Ventures Pvt Ltd,Promoter,Qty 27697000,Price 0,% Traded 1.50,Post Tnx Hold. 6.71%
8,"24 Oct, 2020",Disposal -  Market,World Crest Advisors LLP,Promoter,Qty 17287310,Price 0,% Traded 0.94,Post Tnx Hold. 0.56%
9,"22 Sep, 2020",Disposal -  Market,Direct Media Distribution Ventures Pvt Ltd,Promoter,Qty 23561187,Price 0,% Traded 1.28,Post Tnx Hold. 8.22%
10,"22 Sep, 2020",Disposal -  Market,World Crest Advisors LLP,Promoter,Qty 17961127,Price 0,% Traded 0.98,Post Tnx Hold. 1.5%
11,"18 Sep, 2020",Acquisition -  Market,Blue Diamond Propertie Pvt Ltd,Other,Qty 5000000,Price 0,% Traded 0.27,Post Tnx Hold. 5.23%
