,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 Feb, 2021",Disposal -  Inter-se Transfer,Oberoi Buildings and Investments Private Limited,Promoter,Qty 3300000,Price 98,% Traded 0.53,Post Tnx Hold. 2.68%
1,"22 Feb, 2021",Acquisition -  Inter-se Transfer,Oberoi Hotels Private Limited,Promoter,Qty 3300000,Price 98,% Traded 0.53,Post Tnx Hold. 17.67%
2,"15 Feb, 2021",Disposal -  Inter-se Transfer,Oberoi Investments Private Limited,Promoter,Qty 5400000,Price 97.8,% Traded 0.86,Post Tnx Hold. 4.14%
3,"15 Feb, 2021",Disposal -  Inter-se Transfer,Oberoi Leasing & Finance Company Private Limited,Promoter,Qty 500000,Price 99.25,% Traded 0.08,Post Tnx Hold. 0.3%
4,"15 Feb, 2021",Acquisition -  Inter-se Transfer,Oberoi Hotels Private Limited,Promoter,Qty 5900000,Price 97.92,% Traded 0.94,Post Tnx Hold. 17.14%
5,"05 Feb, 2021",Disposal -  Inter-se Transfer,Oberoi Holdings Private Limited,Promoter,Qty 6590110,Price 92.94,% Traded 1.05,Post Tnx Hold. 4.89%
6,"23 Feb, 2021",Acquisition -  Inter-se Transfer,Oberoi Hotels Pvt Ltd,Promoter,Qty 15790110,Price 0,% Traded 2.52,Post Tnx Hold. 17.67%
7,"22 Feb, 2021",Disposal -  Market,Oberoi Buildings & Investments Pvt Ltd,Promoter,Qty 3300000,Price 0,% Traded 0.53,Post Tnx Hold. 2.68%
8,"22 Feb, 2021",Acquisition -  Inter-se Transfer,Oberoi Hotels Pvt Ltd,Promoter,Qty 3300000,Price 0,% Traded 0.53,Post Tnx Hold. 17.67%
9,"15 Feb, 2021",Acquisition -  Inter-se Transfer,Oberoi Hotels Pvt Ltd,Promoter,Qty 5900000,Price 0,% Traded 0.94,Post Tnx Hold. 17.14%
10,"15 Feb, 2021",Disposal -  Market,Oberoi Investments Pvt Ltd,Promoter,Qty 5400000,Price 0,% Traded 0.86,Post Tnx Hold. 4.14%
11,"15 Feb, 2021",Disposal -  Market,Oberoi Leasing & Finance Company Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.08,Post Tnx Hold. 0.3%
