,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 Dec, 2020",Acquisition -  Off Market,JAIRAM VARADARAJ,Promoter & Director,Qty 2522260,Price 0,% Traded 0.80,Post Tnx Hold. 9.45%
1,"18 Dec, 2020",Disposal -  Off Market,M/S. L.G.B.Public Welfare Society,Promoter Group,Qty 2522260,Price 0,% Traded 0.80,Post Tnx Hold. 0%
2,"06 Oct, 2020",Acquisition -  Bonus,ELGI EQUIPMENTS LIMITED EMPLOYEES STOCK OPTION TRUST,Trust,Qty 185000,Price 119.5,% Traded 0.06,Post Tnx Hold. 0.12%
3,"06 Oct, 2020",Acquisition -  Bonus,RAMPRASAD MATHRUBUTHAM,Director,Qty 8000,Price 119.5,% Traded 0.00,Post Tnx Hold. 0%
4,"06 Oct, 2020",Acquisition -  Bonus,Jairam Varadaraj,Promoter & Director,Qty 13705478,Price 119.5,% Traded 4.33,Post Tnx Hold. 8.65%
5,"06 Oct, 2020",Acquisition -  Bonus,Anvar Jay Varadaraj,Promoter Group,Qty 962624,Price 119.5,% Traded 0.30,Post Tnx Hold. 0.61%
6,"18 Mar, 2021",Acquisition -  Market,"Wasatch Advisors, Inc",Other,Qty 1000000,Price 0,% Traded 0.32,Post Tnx Hold. 5.06%
7,"06 Oct, 2020",Acquisition -  Bonus,Dr Jairam Varadaraj & Others,Promoter,Qty 50554981,Price 0,% Traded 0.00,Post Tnx Hold. 31.91%
8,"09 Sep, 2020",Acquisition -  Market,Pari Washington India Master Fund Ltd & Pari Washington Investment Fund,Other,Qty 4709,Price 0,% Traded 0.00,Post Tnx Hold. 9.5%
9,"18 Oct, 2019",Acquisition -  Market,Colonial First State Asset Management (Australia) & First State Investment (Singapore) & PACs,Other,Qty 378896,Price 0,% Traded 0.24,Post Tnx Hold. 5.08%
10,"18 Jun, 2019",Acquisition -  Inter-se Transfer,Dark Horse Portfolio Investment Pvt Ltd,Promoter,Qty 105000,Price 0,% Traded 0.07,Post Tnx Hold. 16.39%
11,"18 Jun, 2019",Disposal -  Inter-se Transfer,Jairam Varadaraj,Promoter,Qty 105000,Price 0,% Traded 0.07,Post Tnx Hold. 8.65%
