,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Mar, 2021",Disposal -  Buy Back,President of India through Ministry of Petroleum and Natual Gas,Promoter,Qty 36946140,Price 84,% Traded 5.85,Post Tnx Hold. 51.32%
1,"17 Oct, 2019",Disposal -  Off Market,The President of Indiaacting through the Ministry of Petroleum and Natural Gas,Promoter,Qty 3159269,Price 106.45,% Traded 0.50,Post Tnx Hold. 51.49%
2,"27 Nov, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Petroleum & Natural Gas,Promoter,Qty 13588409,Price 5,% Traded 2.15,Post Tnx Hold. 52.02%
3,"17 Aug, 2017",Disposal -  Buy Back,Ministry of Petroleum & Natural Gas Government of India,Promoter,Qty 41946454,Price 157,% Traded 6.64,Post Tnx Hold. 54.17%
4,"23 Mar, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Ministry Petroleum & Natural Gas,Promoter,Qty 3459433,Price 5,% Traded 0.55,Post Tnx Hold. 57.02%
5,"30 Jan, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Petroleum & Natural Gas,Promoter,Qty 9015823,Price 5,% Traded 1.43,Post Tnx Hold. 57.53%
6,"03 Mar, 2021",Disposal -  Buy-back Offer,"President of India, actingh through Ministry of Petroleum & Natural Gas, Government of India",Promoter,Qty 36946140,Price 0,% Traded 0.18,Post Tnx Hold. 51.32%
7,"20 Feb, 2021", Market,Life Insurance Corporation of India,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 5.15%
8,"23 Nov, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 47450,Price 0,% Traded 0.00,Post Tnx Hold. 4.27%
9,"01 Sep, 2020",Disposal -  Market,L&T Mutual Fund,Other,Qty 12794374,Price 0,% Traded 2.03,Post Tnx Hold. 2.99%
10,"01 Jul, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 858180,Price 0,% Traded 0.14,Post Tnx Hold. 6.28%
11,"26 Oct, 2018",Acquisition -  Market,L&T Mutual Fund,Other,Qty 295897,Price 0,% Traded 0.05,Post Tnx Hold. 5.02%
