,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"21 Sep, 2020",Disposal -  Market Sale,Epsilon Bidco Pte. Ltd.,Promoter,Qty 72580090,Price 256.47,% Traded 23.01,Post Tnx Hold. 51.98%
1,"23 Aug, 2019",Disposal -  Off Market,Ashok Kumar Goel  - Trustee Ashok Goel Trust,Promoter,Qty 154495022,Price 134,% Traded 48.98,Post Tnx Hold. 7.67%
2,"07 Dec, 2018",Acquisition -  ESOS,Ashok Kumar Vashisht,Employee,Qty 45666,Price 60.83,% Traded 0.01,Post Tnx Hold. 0.01%
3,"14 Nov, 2018",Acquisition -  ESOS,Vinay Mokashi,KMP,Qty 45666,Price 60.83,% Traded 0.01,Post Tnx Hold. 0.01%
4,"14 Nov, 2018",Acquisition -  ESOS,Amit Jain,Employee,Qty 45666,Price 60.83,% Traded 0.01,Post Tnx Hold. 0.01%
5,"14 Nov, 2018",Acquisition -  ESOS,M R Ramasamy,Employee,Qty 114666,Price 60.83,% Traded 0.04,Post Tnx Hold. 0.03%
6,"22 Sep, 2020",Disposal -  Encumbrance Shares,DB International Trust (Singapore) Ltd & DB International (Asia) Ltd,Other,Qty 59,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"22 Sep, 2020",Disposal -  Encumbrance Shares,DB International Trust (Singapore) Ltd & DB International (Asia) Ltd,Other,Qty 59,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"18 Sep, 2020",Disposal -  Market,Epsilon Bidco Pte Ltd & PACs,Promoter,Qty 72580090,Price 0,% Traded 23.01,Post Tnx Hold. 51.98%
9,"28 Aug, 2019", Encumbrance Shares,DB International Trust (Singapore) Ltd & DB International (Asia) Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"26 Aug, 2019",Disposal -  Open Offer&Market,NT Asian Discovery Master Fund,Other,Qty 14112705,Price 0,% Traded 4.47,Post Tnx Hold. 1.16%
11,"23 Aug, 2019",Disposal -  Off Market,"Ashok Kumar Goel (Trustee,Ashok Goel Trust)",Promoter,Qty 154495022,Price 0,% Traded 48.98,Post Tnx Hold. 7.67%
