,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 May, 2021",Disposal -  Market Sale,Jagadesh J,Designated Person,Qty 24036,Price 94.88,% Traded 0.01,Post Tnx Hold. 0%
1,"13 Mar, 2020",Acquisition -  Market Purchase,TABASSUM ABDULLA INAMDAR,Director,Qty 35000,Price 88.96,% Traded 0.01,Post Tnx Hold. 0.01%
2,"13 Mar, 2020",Acquisition -  Market Purchase,TABASSUM ABDULLA INAMDAR,Designated Person,Qty 35000,Price 88.96,% Traded 0.01,Post Tnx Hold. 0.01%
3,"19 Sep, 2019",Disposal -  Market Sale,H K N RAGHAVAN,Employee,Qty 119945,Price 98.26,% Traded 0.04,Post Tnx Hold. 0%
4,"19 Sep, 2019",Disposal -  Market Sale,H K N RAGHAVAN,Employee,Qty 14302,Price 97.19,% Traded 0.00,Post Tnx Hold. 0%
5,"17 Sep, 2019",Disposal -  Market Sale,H K N RAGHAVAN,Employee,Qty 20000,Price 119.27,% Traded 0.01,Post Tnx Hold. 0.07%
6,"26 Feb, 2021",Disposal -  Market,CDC Group PLC,Other,Qty 8930410,Price 0,% Traded 2.61,Post Tnx Hold. 5.23%
7,"26 Feb, 2021",Disposal -  Market,CDC Group PLC,Other,Qty 8930410,Price 0,% Traded 2.61,Post Tnx Hold. 5.23%
8,"23 Jun, 2020",Acquisition -  Market,DSP Trustee Pvt Ltd & Others,Other,Qty 802500,Price 0,% Traded 0.23,Post Tnx Hold. 7.14%
9,"09 Dec, 2019",Disposal -  Market Sale,SBI Mutual Fund,,Qty 4835442,Price 0,% Traded 1.41,Post Tnx Hold. 1.95%
10,"15 Oct, 2019",Acquisition -  Market,DSP Trustee Pvt Ltd,Other,Qty 757275,Price 0,% Traded 0.22,Post Tnx Hold. 5.11%
11,"29 Oct, 2018",Disposal -  Market Sale,SBI Funds Management Pvt Ltd,Other,Qty 8037286,Price 0,% Traded 2.35,Post Tnx Hold. 5.22%
