,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Feb, 2021", Invocation Of Pledged,Future Capital Investment Private Limited,Promoter,Qty 447239338,Price 8.43,% Traded 23.44,Post Tnx Hold. 12.26%
1,"28 Dec, 2020",Disposal -  Gift,Chandra Prakash Toshniwal,Connected Person,Qty 1000000,Price 0,% Traded 0.05,Post Tnx Hold. 0%
2,"28 Dec, 2020",Acquisition -  Gift,CPT Family Trust,Connected Person,Qty 1000000,Price 0,% Traded 0.05,Post Tnx Hold. 0.05%
3,"28 Dec, 2020", Invocation Of Pledged,Future Capital Investment Private Limited,Promoter,Qty 2322128,Price 8.4,% Traded 0.12,Post Tnx Hold. 34.76%
4,"08 Oct, 2020", Creation Of Pledge,Future Corporate Resources Private Limited,Promoter Group,Qty 7985100,Price 8.5,% Traded 0.42,Post Tnx Hold. 0.75%
5,"08 Oct, 2020", Creation Of Pledge,Future Capital Investment Private Limited,Promoter,Qty 23561799,Price 8.43,% Traded 1.24,Post Tnx Hold. 36.08%
6,"04 Feb, 2021", Invocation Of Pledged,Future Capital Investments Pvt Ltd & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 14.47%
7,"04 Feb, 2021",Acquisition -  Invocation of pledge,Vistra ITCL India Ltd,Other,Qty 447239338,Price 0,% Traded 22.51,Post Tnx Hold. 22.51%
8,"01 Dec, 2020",Disposal -  Market,"Bennett, Coleman & Company Ltd",Other,Qty 40062322,Price 0,% Traded 2.09,Post Tnx Hold. 4.25%
9,"27 Nov, 2020",Disposal -  Market,"Bennett, Coleman & Company Ltd",Other,Qty 40062322,Price 0,% Traded 2.09,Post Tnx Hold. 4.25%
10,"19 Aug, 2020", Invocation Of Pledged,Future Capital Investment Pvt Ltd & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 39.76%
11,"23 Jul, 2020", Invocation Of Pledged,Future Capital Investments Pvt Ltd & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 39.8%
