,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"24 Jul, 2019",Disposal -  Buy Back,MEERA RAMDAS CHANDAVARKAR,Promoter,Qty 580694,Price 350,% Traded 0.33,Post Tnx Hold. 19.33%
1,"24 Jul, 2019",Disposal -  Buy Back,NOMITA RAMDAS CHANDAVARKAR,Promoter & Director,Qty 96500,Price 350,% Traded 0.06,Post Tnx Hold. 3.21%
2,"24 Jul, 2019",Disposal -  Buy Back,NANDAN MOHAN CHANDAVARKAR,Promoter & Director,Qty 92473,Price 350,% Traded 0.05,Post Tnx Hold. 3.08%
3,"24 Jul, 2019",Disposal -  Buy Back,NANDAN MOHAN CHANDAVARKAR in capacity of Trustee of Mohan Anand Chandavarkar Trust,Promoter & Director,Qty 322978,Price 350,% Traded 0.18,Post Tnx Hold. 10.75%
4,"24 Jul, 2019",Disposal -  Buy Back,NANDAN MOHAN CHANDAVARKAR  in capacity of Trustee of Sandhya Mohan Chandavarkar Trust,Promoter & Director,Qty 328674,Price 350,% Traded 0.19,Post Tnx Hold. 10.94%
5,"24 Jul, 2019",Disposal -  Buy Back,AMEYA ASHOK CHANDAVARKAR,Promoter & Director,Qty 182043,Price 350,% Traded 0.10,Post Tnx Hold. 6.06%
6,"29 Nov, 2018",Disposal -  Inter-se Transfer / Gift,Mohan Anand Chandavarkar,Promoter,Qty 18701621,Price 0,% Traded 10.72,Post Tnx Hold. 0%
7,"29 Nov, 2018",Acquisition -  Inter-se Transfer / Gift,Mohan Anand Chandavarkar Trust,Promoter,Qty 18701621,Price 0,% Traded 10.72,Post Tnx Hold. 10.72%
8,"29 Nov, 2018",Disposal -  Inter-se Transfer / Gift,Sandhya Mohan Chandavarkar,Promoter,Qty 19031473,Price 0,% Traded 10.91,Post Tnx Hold. 0%
9,"29 Nov, 2018",Acquisition -  Inter-se Transfer / Gift,Sandhya Mohan Chandavarkar Trust,Promoter,Qty 19031473,Price 0,% Traded 10.91,Post Tnx Hold. 10.91%
10,"30 Mar, 2017",Disposal -  Inter-se Transfer,Ashok Anand Chandavarkar,Promoter,Qty 16134016,Price 0,% Traded 9.07,Post Tnx Hold. 0%
11,"30 Mar, 2017",Disposal -  Inter-se Transfer,Ashok Anand Chandavarkar,Promoter,Qty 16134016,Price 0,% Traded 9.07,Post Tnx Hold. 0%
