,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Sep, 2020",Disposal -  Market Sale,Chandra Prakash Jain,Director,Qty 3900,Price 527.18,% Traded 0.00,Post Tnx Hold. 0%
1,"31 Dec, 2019",Acquisition -  Market Purchase,Inox Leasing and Finance Limited,Promoter,Qty 2400,Price 603.35,% Traded 0.00,Post Tnx Hold. 52.58%
2,"27 Dec, 2019",Acquisition -  Market Purchase,Inox Leasing and Finance Limited,Promoter,Qty 2000,Price 602.91,% Traded 0.00,Post Tnx Hold. 52.58%
3,"23 Dec, 2019",Acquisition -  Market Purchase,Inox Leasing and Finance Limited,Promoter,Qty 2000,Price 609.8,% Traded 0.00,Post Tnx Hold. 52.58%
4,"20 Dec, 2019",Acquisition -  Market Purchase,Inox Leasing and Finance Limited,Promoter,Qty 2000,Price 605.25,% Traded 0.00,Post Tnx Hold. 52.57%
5,"18 Dec, 2019",Acquisition -  Market Purchase,Inox Leasing and Finance Limited,Promoter,Qty 2500,Price 589.64,% Traded 0.00,Post Tnx Hold. 52.57%
6,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Devendra Kumar Jain,Promoter,Qty 20100,Price 0,% Traded 0.02,Post Tnx Hold. 0.02%
7,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Devendra Kumar Jain,Promoter,Qty 20100,Price 0,% Traded 0.02,Post Tnx Hold. 0.02%
8,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Nayantara Jain,Promoter,Qty 10000,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
9,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Nayantara Jain,Promoter,Qty 10000,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
10,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Pavan Kumar Jain,Promoter,Qty 20100,Price 0,% Traded 0.02,Post Tnx Hold. 0.02%
11,"23 Oct, 2019",Acquisition -  Sch.of Arrangement,Pavan Kumar Jain,Promoter,Qty 20100,Price 0,% Traded 0.02,Post Tnx Hold. 0.02%
