,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"15 Feb, 2021",Disposal -  Buy Back,Vimlabai Garware Research Institute Private Limited,Promoter Group,Qty 35731,Price 2300,% Traded 0.17,Post Tnx Hold. 2.69%
1,"15 Feb, 2021",Disposal -  Buy Back,Vayu Ramesh Garware,Promoter & Director,Qty 87767,Price 2300,% Traded 0.42,Post Tnx Hold. 6.6%
2,"15 Feb, 2021",Disposal -  Buy Back,Vayu Ramesh Garware,Promoter Group,Qty 71332,Price 2300,% Traded 0.34,Post Tnx Hold. 5.37%
3,"15 Feb, 2021",Disposal -  Buy Back,Vayu Ramesh Garware,Promoter Group,Qty 56977,Price 2300,% Traded 0.27,Post Tnx Hold. 4.29%
4,"15 Feb, 2021",Disposal -  Buy Back,Garware Capital Markets Limited,Promoter Group,Qty 400,Price 2300,% Traded 0.00,Post Tnx Hold. 17.31%
5,"07 Dec, 2020",Disposal -  Market Sale,Ashish Goel,Designated Person,Qty 1154,Price 2163.16,% Traded 0.01,Post Tnx Hold. 0.01%
6,"12 Mar, 2021",Acquisition -  Market,White Oak Capital Management Consultants LLP,Other,Qty 24773,Price 0,% Traded 0.12,Post Tnx Hold. 5.09%
7,"06 Aug, 2020", Reduction,Vayu Garware & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 53%
8,"06 Aug, 2020",Acquisition -  ,Vayu Garware & PACs,,Qty 946500,Price 0,% Traded 4.33,Post Tnx Hold. 0%
9,"05 Sep, 2017",Acquisition -  Transmission,Vayu Ramesh Garware,Promoter,Qty 3427421,Price 0,% Traded 15.66,Post Tnx Hold. 16.6%
10,"05 Sep, 2017",Acquisition -  Transmission,Vayu Ramesh Garware,Promoter,Qty 3427421,Price 0,% Traded 15.66,Post Tnx Hold. 16.6%
