,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Nov, 2016",Disposal -  Market,GE Energy Europe B V,Promoter,Qty 28377,Price 333.12,% Traded 0.01,Post Tnx Hold. 0%
1,"29 Oct, 2016",Disposal -  Market,GE Energy Europe B V,Promoter,Qty 10721,Price 342.73,% Traded 0.00,Post Tnx Hold. 0%
2,"29 Oct, 2016",Disposal -  Market,GE Energy Europe B V,Promoter,Qty 3467,Price 342.09,% Traded 0.00,Post Tnx Hold. 0%
3,"18 Feb, 2016",Acquisition -  Off Market,GE Energy Europe B V,Promoter,Qty 42570,Price 300.98,% Traded 0.02,Post Tnx Hold. 0.01%
4,"24 Jun, 2015",Disposal -  Off Market,Alstom Holdings,Promoter,Qty 16542372,Price 0,% Traded 6.46,Post Tnx Hold. 0%
5,"24 Jun, 2015",Acquisition -  Off Market,Alstom Grid Holding B. V.,Promoter,Qty 16542372,Price 0,% Traded 6.46,Post Tnx Hold. 6.46%
6,"16 Jul, 2020",Disposal -  Market,Nippon Life India Trustee Ltd,Other,Qty 6154489,Price 0,% Traded 2.40,Post Tnx Hold. 5.19%
7,"15 Jul, 2020",Acquisition -  Market,SBI Mutual Fund,,Qty 6010532,Price 0,% Traded 2.34,Post Tnx Hold. 7.06%
8,"11 May, 2018",Acquisition -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 1145800,Price 0,% Traded 0.44,Post Tnx Hold. 9.38%
9,"29 Aug, 2017",Acquisition -  Market,Reliance Mutual Fund,Other,Qty 353000,Price 0,% Traded 0.13,Post Tnx Hold. 7.25%
10,"17 Feb, 2016",Acquisition -  Open Offer,GE Energy Europe B.V.,Promoter,Qty 42570,Price 0,% Traded 0.01,Post Tnx Hold. 75.01%
11,"04 Nov, 2015",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 280000,Price 0,% Traded 0.10,Post Tnx Hold. 5.15%
