,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 Sep, 2020",Disposal -  Market Sale,PFAUDLER INC,Promoter,Qty 2595739,Price 3519.85,% Traded 17.76,Post Tnx Hold. 32.68%
1,"26 Sep, 2020",Disposal -  Market Sale,MILLARS MACHINERY COMPANY PRIVATE LIMITED,Promoter Group,Qty 330000,Price 3519.65,% Traded 2.26,Post Tnx Hold. 8.86%
2,"26 Sep, 2020",Disposal -  Market Sale,URMI ASHOK PATEL,Promoter Group,Qty 5321,Price 3518.88,% Traded 0.04,Post Tnx Hold. 4.24%
3,"08 Sep, 2020",Disposal -  Market Sale,Kavita Anil Advani,Employees Immediate Relative,Qty 320,Price 5585.88,% Traded 0.00,Post Tnx Hold. 0.02%
4,"26 May, 2017",Disposal -  Off Market,Ashok J Patel Revised,Promoter,Qty 491375,Price 0,% Traded 3.36,Post Tnx Hold. 0.05%
5,"26 May, 2017",Acquisition -  Off Market,Urmi Ashok Patel Revised,Promoter,Qty 491375,Price 0,% Traded 3.36,Post Tnx Hold. 4.27%
6,"26 Sep, 2020",Disposal -  Market,Millars Machinery Company Pvt Ltd,Promoter,Qty 330000,Price 0,% Traded 2.26,Post Tnx Hold. 8.86%
7,"26 Sep, 2020",Disposal -  Market,Pfaudler Inc,Promoter,Qty 2595739,Price 0,% Traded 17.76,Post Tnx Hold. 32.68%
8,"26 Sep, 2020",Disposal -  Market,Urmi Ashok Patel,Promoter,Qty 5321,Price 0,% Traded 0.04,Post Tnx Hold. 4.24%
9,"26 May, 2017",Disposal -  Off Market / Inter se transfer,Ashok J Patel,Promoter,Qty 491375,Price 0,% Traded 3.36,Post Tnx Hold. 0.05%
10,"26 May, 2017",Acquisition -  -,Urmi A Patel,Other,Qty 491375,Price 0,% Traded 3.36,Post Tnx Hold. 0%
11,"26 May, 2017",Acquisition -  Off Market / Inter se transfer,Urmi A Patel,Promoter,Qty 491375,Price 0,% Traded 3.36,Post Tnx Hold. 4.27%
