,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 22258,Price 892.23,% Traded 0.04,Post Tnx Hold. 29.84%
1,"31 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 1717,Price 887.14,% Traded 0.00,Post Tnx Hold. 29.85%
2,"28 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 22005,Price 880.99,% Traded 0.04,Post Tnx Hold. 29.79%
3,"28 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 3327,Price 887,% Traded 0.01,Post Tnx Hold. 29.8%
4,"24 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 393,Price 898.85,% Traded 0.00,Post Tnx Hold. 29.75%
5,"24 Mar, 2021",Acquisition -  Market Purchase,K K Modi Investment And Financial Services Private Limited,Promoter Group,Qty 2448,Price 898.85,% Traded 0.00,Post Tnx Hold. 29.75%
6,"31 Mar, 2021",Acquisition -  Market,K K Modi Investment & Financial Services Pvt Ltd,Promoter,Qty 23975,Price 0,% Traded 0.04,Post Tnx Hold. 47.72%
7,"27 Mar, 2021",Acquisition -  Market,K K Investment & Financial Services Pvt Ltd,Promoter,Qty 25332,Price 0,% Traded 0.04,Post Tnx Hold. 47.68%
8,"24 Mar, 2021",Acquisition -  Market,K K Modi Investment & Financial Services Pvt Ltd & PACs,Promoter,Qty 2841,Price 0,% Traded 0.00,Post Tnx Hold. 47.63%
9,"23 Mar, 2021",Acquisition -  Market,K K Modi Investment & Financial Services Pvt Ltd,Promoter,Qty 13723,Price 0,% Traded 0.02,Post Tnx Hold. 47.62%
10,"22 Mar, 2021",Acquisition -  Market,K K Modi Investment & Financial Services Pvt Ltd & PACs,Promoter,Qty 5356,Price 0,% Traded 0.01,Post Tnx Hold. 47.6%
11,"19 Mar, 2021",Acquisition -  Market,K K Modi Investment & Financial Services Pvt Ltd,Promoter,Qty 4512,Price 0,% Traded 0.01,Post Tnx Hold. 47.59%
