,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Acquisition -  Market Purchase,GODREJ INDUSTRIES LIMITED,Promoter,Qty 26426,Price 552.94,% Traded 0.01,Post Tnx Hold. 60.1%
1,"03 Jun, 2021",Acquisition -  Market Purchase,GODREJ INDUSTRIES LIMITED,Promoter,Qty 18322,Price 551.67,% Traded 0.01,Post Tnx Hold. 60.09%
2,"02 Jun, 2021",Acquisition -  Market Purchase,GODREJ INDUSTRIES LIMITED,Promoter,Qty 36357,Price 549.28,% Traded 0.02,Post Tnx Hold. 60.08%
3,"02 Jun, 2021",Disposal -  Market Sale,VINEY VATAL,Designated Person,Qty 750,Price 552,% Traded 0.00,Post Tnx Hold. 0.01%
4,"02 Jun, 2021",Disposal -  Market Sale,VINEY VATAL,Designated Person,Qty 200,Price 553,% Traded 0.00,Post Tnx Hold. 0.01%
5,"02 Jun, 2021",Disposal -  Market Sale,VINEY VATAL,Designated Person,Qty 400,Price 555,% Traded 0.00,Post Tnx Hold. 0.01%
6,"02 Jun, 2021",Acquisition -  Market,Godrej Industries Ltd & PACs,Promoter,Qty 18322,Price 0,% Traded 0.01,Post Tnx Hold. 70.88%
7,"02 Jun, 2021",Acquisition -  Market,Godrej Industries Ltd & PACs,Other,Qty 18322,Price 0,% Traded 0.01,Post Tnx Hold. 70.88%
8,"05 Apr, 2021",Acquisition -  Market,Godrej Industries Ltd,Promoter,Qty 114916,Price 0,% Traded 0.06,Post Tnx Hold. 59.9%
9,"05 Apr, 2021",Acquisition -  Market,Godrej Industries Ltd,Promoter,Qty 114916,Price 0,% Traded 0.06,Post Tnx Hold. 59.9%
10,"23 Dec, 2020",Disposal -  Market,"TAD Family Trust through its trustees, Ms Tanya Dubash and Mr. Pirojsha Godrej",Promoter,Qty 21000,Price 0,% Traded 0.01,Post Tnx Hold. 0.71%
11,"23 Dec, 2020",Acquisition -  Market,Tanya Dubash,Promoter,Qty 21000,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
