,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"06 Apr, 2021",Acquisition -  Market Purchase,AREL ENTERPRISE LLP,Promoter Group,Qty 167664,Price 544.33,% Traded 0.05,Post Tnx Hold. 0.8%
1,"06 Apr, 2021",Acquisition -  Market Purchase,AREL ENTERPRISE LLP,Promoter Group,Qty 91807,Price 548.9,% Traded 0.03,Post Tnx Hold. 0.82%
2,"05 Apr, 2021",Disposal -  Market Sale,Nitin Nabar,Director,Qty 4000,Price 474.47,% Traded 0.00,Post Tnx Hold. 0%
3,"05 Apr, 2021",Acquisition -  Market Purchase,AREL ENTERPRISE LLP,Promoter Group,Qty 102192,Price 526.95,% Traded 0.03,Post Tnx Hold. 0.75%
4,"01 Apr, 2021",Disposal -  Market Sale,Nitin Nabar,Director,Qty 4000,Price 538.23,% Traded 0.00,Post Tnx Hold. 0%
5,"31 Mar, 2021",Acquisition -  Market Purchase,AREL ENTERPRISE LLP,Promoter Group,Qty 63600,Price 524.75,% Traded 0.02,Post Tnx Hold. 0.69%
6,"30 Dec, 2020",Acquisition -  Market,Anamudi Real Estates LLP,Promoter,Qty 1106500,Price 0,% Traded 0.33,Post Tnx Hold. 2.54%
7,"30 Dec, 2020",Acquisition -  Market,Anamudi Real Estates LLP,Promoter,Qty 1106500,Price 0,% Traded 0.33,Post Tnx Hold. 2.54%
8,"28 Sep, 2020",Acquisition -  ,Hormazd Godrej,,Qty 360000,Price 0,% Traded 0.11,Post Tnx Hold. 0%
9,"28 Sep, 2020", Off Market / Inter se transfer,Burjis Godrej,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"28 Sep, 2020", Off Market / Inter se transfer,Hormazd Godrej,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"28 Sep, 2020", Off Market / Inter se transfer,Hormazd Godrej,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
