,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2021",Disposal -  Gift,KRISHNA KUMAR BANGUR,Promoter Group,Qty 248545,Price 0,% Traded 0.13,Post Tnx Hold. 0.72%
1,"05 Apr, 2021",Acquisition -  Gift,SIDDHANT BANGUR,Promoter Group,Qty 248545,Price 0,% Traded 0.13,Post Tnx Hold. 0.13%
2,"08 Apr, 2020",Acquisition -  Market Purchase,EMERALD COMPANY PRIVATE LIMITED,Promoter,Qty 113665,Price 127.18,% Traded 0.06,Post Tnx Hold. 61.33%
3,"08 Apr, 2020",Acquisition -  Market Purchase,EMERALD COMPANY PRIVATE LIMITED,Promoter,Qty 1002,Price 127.1,% Traded 0.00,Post Tnx Hold. 61.33%
4,"07 Apr, 2020",Acquisition -  Market Purchase,EMERALD COMPANY PRIVATE LIMITED,Promoter,Qty 20476,Price 115.31,% Traded 0.01,Post Tnx Hold. 61.27%
5,"07 Apr, 2020",Acquisition -  Market Purchase,EMERALD COMPANY PRIVATE LIMITED,Promoter,Qty 1636,Price 115,% Traded 0.00,Post Tnx Hold. 61.27%
6,"18 Jul, 2017",Disposal -  Market,FMR LLC & FIL Ltd,Other,Qty 113680,Price 0,% Traded 0.06,Post Tnx Hold. 3.52%
7,"31 Mar, 2016",Disposal -  Block Deal,Kiwi Investments Ltd,Promoter,Qty 5840000,Price 0,% Traded 2.98,Post Tnx Hold. 1.83%
8,"31 Mar, 2016",Disposal -  Market,Kiwi Investments Ltd,Promoter,Qty 113673,Price 0,% Traded 0.05,Post Tnx Hold. 1.78%
9,"31 Mar, 2016",Disposal -  Block Deal,Kiwi Investments Ltd,Promoter,Qty 2000000,Price 0,% Traded 1.02,Post Tnx Hold. 0.76%
10,"31 Mar, 2016",Disposal -  Market,Kiwi Investments Ltd,Promoter,Qty 64936,Price 0,% Traded 0.03,Post Tnx Hold. 0.72%
11,"31 Mar, 2016",Disposal -  Off Market,Kiwi Investments Ltd,Promoter,Qty 1396841,Price 0,% Traded 0.72,Post Tnx Hold. 0%
