,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021",Acquisition -  Off Market,Anatole Investments Pte. Ltd.,Promoter Group,Qty 400000,Price 1406.62,% Traded 0.06,Post Tnx Hold. 0.31%
1,"31 Mar, 2021",Acquisition -  Off Market,Anatole Investments Pte. Ltd.,Promoter Group,Qty 512930,Price 1394.12,% Traded 0.08,Post Tnx Hold. 0.39%
2,"25 Mar, 2021",Acquisition -  Off Market,Anatole Investments Pte. Ltd.,Promoter Group,Qty 64154,Price 1382.15,% Traded 0.01,Post Tnx Hold. 0.25%
3,"23 Mar, 2021",Acquisition -  Off Market,Anatole Investments Pte. Ltd.,Promoter Group,Qty 120000,Price 1378.86,% Traded 0.02,Post Tnx Hold. 0.23%
4,"23 Mar, 2021",Acquisition -  Off Market,Anatole Investments Pte. Ltd.,Promoter Group,Qty 28894,Price 1383.77,% Traded 0.00,Post Tnx Hold. 0.24%
5,"19 Mar, 2021",Acquisition -  ESOS,Harikrishna Agarwal,Employee,Qty 27777,Price 847.2,% Traded 0.00,Post Tnx Hold. 0%
6,"25 Sep, 2020",Acquisition -  Market Purchase,Life Insurance Corporation of India,Other,Qty 13373372,Price 0,% Traded 2.03,Post Tnx Hold. 11.86%
7,"02 Jan, 2020",Acquisition -  Market,Pilani Investment & Industries Corporation Ltd,Promoter,Qty 440000,Price 0,% Traded 0.06,Post Tnx Hold. 3.75%
8,"12 Jul, 2019", -,Birla Group Holdings Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 119527128,Price 0,% Traded 18.18,Post Tnx Hold. 19.01%
10,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 119527128,Price 0,% Traded 18.18,Post Tnx Hold. 19.01%
11,"24 May, 2019",Disposal -  Market,Aberdeen Standard Investment (Asia) Ltd,Other,Qty 568459,Price 0,% Traded 0.08,Post Tnx Hold. 3.97%
