,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 Mar, 2018",Disposal -  Inter-se Transfer,Gujarat State Petroleum Corporation Ltd,Promoter,Qty 14439414,Price 83.62,% Traded 10.49,Post Tnx Hold. 0%
1,"28 Mar, 2018",Disposal -  Inter-se Transfer,Gujarat State Petroleum Corporation Ltd,Promoter,Qty 24666914,Price 83.07,% Traded 17.92,Post Tnx Hold. 10.49%
2,"28 Mar, 2018",Acquisition -  Inter-se Transfer,Gujarat State Petronet Ltd,Promoter,Qty 24666914,Price 83.07,% Traded 17.92,Post Tnx Hold. 43.67%
3,"28 Mar, 2018",Acquisition -  Inter-se Transfer,Gujarat State Petronet Ltd,Promoter,Qty 14439414,Price 83.62,% Traded 10.49,Post Tnx Hold. 54.16%
4,"28 Mar, 2018",Disposal -  Inter-se Transfer,Gujarat State Petroleum Corporation Ltd,Promoter,Qty 24666914,Price 0,% Traded 17.92,Post Tnx Hold. 10.48%
5,"28 Mar, 2018",Acquisition -  -,Gujarat State Petronet Ltd,Other,Qty 24666914,Price 0,% Traded 17.92,Post Tnx Hold. 0%
6,"28 Mar, 2018",Disposal -  Inter-se Transfer,Gujarat State Petroleum Corporation Ltd,Promoter,Qty 14439414,Price 0,% Traded 10.48,Post Tnx Hold. 0%
7,"28 Mar, 2018",Acquisition -  -,Gujarat State Petronet Ltd,Other,Qty 14439414,Price 0,% Traded 10.49,Post Tnx Hold. 0%
8,"28 Mar, 2018",Acquisition -  Block Deal,Gujarat State Petronet Ltd,Promoter,Qty 14439414,Price 0,% Traded 10.49,Post Tnx Hold. 54.16%
9,"27 Mar, 2018",Acquisition -  Block Deal,Gujarat State Petronet Ltd,Promoter,Qty 24666914,Price 0,% Traded 17.92,Post Tnx Hold. 43.67%
