,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021",Acquisition -  ESOP,Satyabrata Das,Designated Person,Qty 6253,Price 336,% Traded 0.01,Post Tnx Hold. 0.01%
1,"01 Jun, 2021",Acquisition -  ESOP,Pradeep Unhale,Designated Person,Qty 12088,Price 336,% Traded 0.02,Post Tnx Hold. 0.05%
2,"01 Jun, 2021",Acquisition -  ESOP,Swaminathan K,Designated Person,Qty 752,Price 543.62,% Traded 0.00,Post Tnx Hold. 0%
3,"05 Mar, 2021",Disposal -  Market Sale,Somesh Sabhani,Designated Person,Qty 4500,Price 788.33,% Traded 0.01,Post Tnx Hold. 0%
4,"12 Feb, 2021",Disposal -  Market Sale,Mr. Somesh Sabhani,Designated Person,Qty 2700,Price 746.11,% Traded 0.01,Post Tnx Hold. 0.01%
5,"04 Jan, 2021",Disposal -  Market Sale,Satyabrata Das,Designated Person,Qty 4769,Price 722.64,% Traded 0.01,Post Tnx Hold. 0%
6,"12 Nov, 2020",Acquisition -  Market,"SMALLCAP World Fund, Inc",,Qty 25000,Price 0,% Traded 0.04,Post Tnx Hold. 5%
7,"10 Jul, 2020",Acquisition -  Market,Franklin Templeton Mutual Fund,Other,Qty 145042,Price 0,% Traded 0.28,Post Tnx Hold. 5.11%
8,"11 Sep, 2017",Acquisition -  Market,Gulf Oil International (Mauritius) Inc,Promoter,Qty 700000,Price 0,% Traded 1.41,Post Tnx Hold. 72.89%
9,"11 Aug, 2017",Acquisition -  Market,Gulf Oil International (Mauritius) Inc,Promoter,Qty 347437,Price 0,% Traded 0.70,Post Tnx Hold. 71.48%
10,"07 Aug, 2017",Acquisition -  Market,Gulf Oil International (Mauritius) Inc.,Promoter,Qty 500000,Price 0,% Traded 1.00,Post Tnx Hold. 70.78%
11,"31 Mar, 2017",Acquisition -  Market,Gulf Oil International (Mauritius) Inc,Promoter,Qty 641459,Price 0,% Traded 1.29,Post Tnx Hold. 69.86%
