,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 May, 2021",Acquisition -  Off Market,Ameeta Aziz Parpia,Director,Qty 10925,Price 26.45,% Traded 0.00,Post Tnx Hold. 0%
1,"28 May, 2021",Acquisition -  Off Market,Mona Ninad Desai,Immediate Relative,Qty 10925,Price 26.45,% Traded 0.00,Post Tnx Hold. 0%
2,"29 Apr, 2021",Disposal -  Others,Jio Content Distribution Holdings Private Limited,Promoter,Qty 120872645,Price 21.55,% Traded 6.83,Post Tnx Hold. 31.1%
3,"29 Apr, 2021",Disposal -  Others,Jio Internet Distribution Holdings Private Limited,Promoter,Qty 48443395,Price 21.78,% Traded 2.74,Post Tnx Hold. 12.46%
4,"29 Apr, 2021",Disposal -  Others,Jio Cable and Broadband Holdings Private Limited,Promoter,Qty 36127300,Price 21.63,% Traded 2.04,Post Tnx Hold. 9.3%
5,"01 Apr, 2021",Disposal -  Others,Jio Content Distribution Holdings Private Limited,Promoter,Qty 77980247,Price 0,% Traded 4.41,Post Tnx Hold. 37.93%
6,"28 Apr, 2021",Disposal -  Offer For Sale,Jio Cable & Broadband Holdings Pvt Ltd,Promoter,Qty 36127300,Price 0,% Traded 2.04,Post Tnx Hold. 9.3%
7,"28 Apr, 2021",Disposal -  Offer For Sale,Jio Content Distribution Holdings Pvt Ltd,Promoter,Qty 120872645,Price 0,% Traded 6.83,Post Tnx Hold. 31.1%
8,"28 Apr, 2021",Disposal -  Offer For Sale,Jio Internet Distribution Holdings Pvt Ltd,Promoter,Qty 48443395,Price 0,% Traded 2.74,Post Tnx Hold. 12.46%
9,"31 Mar, 2021",Disposal -  Offer For Sale,"Jio Content Distribution Holdings Pvt Ltd, Jio Internet Distribution Holdings Pvt Ltd & Jio Cable and Broadband Holdings Pvt Ltd",Promoter,Qty 132540515,Price 0,% Traded 7.50,Post Tnx Hold. 64.47%
10,"24 Apr, 2019",Acquisition -  IndirectAcquisition,Jio Cable and Broadband Holdings Pvt Ltd & PACs,Promoter,Qty 1031196,Price 0,% Traded 12.73,Post Tnx Hold. 12.73%
11,"28 Feb, 2019",Acquisition -  Open Offer,"Jio Content Distribution Holdings Pvt Ltd,Jio Internet Distribution Holdings Pvt Ltd & Jio Cable and Broadband Holdings Pvt Ltd & PAC",Promoter,Qty 364891215,Price 0,% Traded 20.61,Post Tnx Hold. 71.96%
