,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"23 Dec, 2020", Pledge Released,C SATHYAN (Revised),Promoter & Director,Qty 514224,Price 781.85,% Traded 0.24,Post Tnx Hold. 9.4%
1,"18 Nov, 2020", Creation Of Pledge,R G CHANDRAMOGAN,Promoter & Director,Qty 600000,Price 820,% Traded 0.37,Post Tnx Hold. 56.71%
2,"13 Nov, 2020",Acquisition -  Market Purchase,C SATHYAN,Promoter & Director,Qty 172200,Price 825,% Traded 0.11,Post Tnx Hold. 9.51%
3,"13 Nov, 2020",Acquisition -  Market Purchase,C SATHYAN,Promoter & Director,Qty 452800,Price 825,% Traded 0.28,Post Tnx Hold. 9.79%
4,"12 Nov, 2020", Creation Of Pledge,C SATHYAN,Promoter & Director,Qty 1870000,Price 824.4,% Traded 1.16,Post Tnx Hold. 9.4%
5,"28 Oct, 2020", Pledge Released,C SATHYAN,Promoter & Director,Qty 514224,Price 781.85,% Traded 0.32,Post Tnx Hold. 9.4%
6,"13 Nov, 2020",Acquisition -  Market,C Sathyan & PACs,Promoter,Qty 625000,Price 0,% Traded 0.39,Post Tnx Hold. 74.07%
7,"07 Aug, 2020",Acquisition -  Market,R G Chandramogan & PACs,Promoter,Qty 132000,Price 0,% Traded 0.08,Post Tnx Hold. 73.66%
8,"01 Nov, 2019",Acquisition -  Market,R G Chandramogan & PACs,Promoter,Qty 62985,Price 0,% Traded 0.03,Post Tnx Hold. 73.58%
9,"31 Oct, 2019",Acquisition -  Market,R G Chandramogan & PACs,Promoter,Qty 111,Price 0,% Traded 0.00,Post Tnx Hold. 73.55%
10,"29 Oct, 2019",Acquisition -  Market,R G Chandramogan & PACs,Promoter,Qty 5,Price 0,% Traded 0.00,Post Tnx Hold. 73.55%
11,"28 Oct, 2019",Acquisition -  Market,R G Chandramogan & PACs,Promoter,Qty 3595,Price 0,% Traded 0.00,Post Tnx Hold. 73.55%
