,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 Sep, 2020",Acquisition -  Inter-se Transfer,RAVI JHUNJHUNWALA,Promoter & Director,Qty 202806,Price 0,% Traded 0.53,Post Tnx Hold. 1.55%
1,"28 Sep, 2020",Disposal -  Inter-se Transfer,RAVI JHUNJHUNWALA-HUF,Promoter Group,Qty 202806,Price 0,% Traded 0.53,Post Tnx Hold. 0%
2,"28 Sep, 2020",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,JET (INDIA) PRIVATE LIMITED,Promoter Group,Qty 1005599,Price 385.1,% Traded 2.61,Post Tnx Hold. 2.61%
3,"27 Sep, 2019",Disposal -  Market Sale,NIVEDAN CHURIWAL,Promoter Group,Qty 10627,Price 1178.26,% Traded 0.03,Post Tnx Hold. 0%
4,"27 Sep, 2019",Disposal -  Market Sale,SUDHA CHURIWAL,Promoter Group,Qty 2362,Price 1157.27,% Traded 0.01,Post Tnx Hold. 0%
5,"27 Sep, 2019",Disposal -  Market Sale,SHUBHA CHURIWAL,Promoter Group,Qty 4000,Price 1161.5,% Traded 0.01,Post Tnx Hold. 0.01%
6,"28 Sep, 2020",Acquisition -  Off Market,Jet India Pvt Ltd,Promoter,Qty 1005599,Price 0,% Traded 2.61,Post Tnx Hold. 2.61%
7,"28 Sep, 2020",Acquisition -  Off Market,Jet India Pvt Ltd,Promoter,Qty 1005599,Price 0,% Traded 2.61,Post Tnx Hold. 2.61%
8,"28 Sep, 2020",Acquisition -  Inter-se Transfer,Ravi Jhunjhunwala,Promoter,Qty 202806,Price 0,% Traded 0.53,Post Tnx Hold. 1.55%
9,"28 Sep, 2020",Disposal -  Inter-se Transfer,Ravi Jhunjhunwala HUF through its Karta of Ravi Jhunjhunwala,Promoter,Qty 202806,Price 0,% Traded 0.53,Post Tnx Hold. 0%
10,"19 May, 2020",Acquisition -  Inter-se Transfer / Gift,Ravi Jhunjhunwala,Promoter,Qty 267396,Price 0,% Traded 0.69,Post Tnx Hold. 1.03%
11,"19 May, 2020",Disposal -  Inter-se Transfer / Gift,Mani Devi Jhunjhunwala,Promoter,Qty 97621,Price 0,% Traded 0.25,Post Tnx Hold. 0%
