,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 500000,Price 18.2,% Traded 0.04,Post Tnx Hold. 22.56%
1,"25 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 500000,Price 18.16,% Traded 0.04,Post Tnx Hold. 22.52%
2,"24 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 500000,Price 18.32,% Traded 0.04,Post Tnx Hold. 22.48%
3,"23 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 500000,Price 18.47,% Traded 0.04,Post Tnx Hold. 22.44%
4,"20 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 500000,Price 18.23,% Traded 0.04,Post Tnx Hold. 22.4%
5,"19 Nov, 2020",Acquisition -  Market Purchase,MN Ventures Private Limited,Promoter,Qty 1000000,Price 18.3,% Traded 0.08,Post Tnx Hold. 22.36%
6,"26 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 13.08%
7,"25 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 13.05%
8,"24 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 13.01%
9,"23 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 12.97%
10,"20 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 500000,Price 0,% Traded 0.04,Post Tnx Hold. 12.93%
11,"19 Nov, 2020",Acquisition -  Market,MN Ventures Pvt Ltd,Promoter,Qty 1000000,Price 0,% Traded 0.08,Post Tnx Hold. 12.89%
