,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"14 Sep, 2020",Disposal -  Gift,D K HIMATSINGKA,Promoter & Director,Qty 66000,Price 0,% Traded 0.07,Post Tnx Hold. 12.09%
1,"14 Sep, 2020",Acquisition -  Gift,SHRIKANT HIMATSINGKA,Promoter & Director,Qty 66000,Price 0,% Traded 0.07,Post Tnx Hold. 9%
2,"04 Sep, 2020",Disposal -  Inter-se Transfer,Bihar Mercantile Union Limited,Promoter Group,Qty 1652505,Price 79.11,% Traded 1.68,Post Tnx Hold. 6.37%
3,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Aditya Resources Limited,Promoter Group,Qty 303910,Price 79.48,% Traded 0.31,Post Tnx Hold. 3.35%
4,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Priya Resources Limited,Promoter Group,Qty 292560,Price 79.48,% Traded 0.30,Post Tnx Hold. 3.17%
5,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Awdhan Trading Co. Limited,Promoter Group,Qty 353090,Price 79.48,% Traded 0.36,Post Tnx Hold. 4.19%
6,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Aditya Resources Ltd,Promoter,Qty 303910,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Awdhan Trading Co Ltd,Promoter,Qty 353090,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"04 Sep, 2020",Disposal -  Inter-se Transfer,Bihar Mercantile Union Ltd,Promoter,Qty 1652505,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Orient Silk Pvt Ltd,Promoter,Qty 702945,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Priya Resources Ltd,Promoter,Qty 292560,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"04 Sep, 2020",Acquisition -  Inter-se Transfer,Aditya Resources Ltd (Revised),Promoter,Qty 303910,Price 0,% Traded 0.31,Post Tnx Hold. 3.35%
