,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Acquisition -  ESOP,GOPIKRISHNAN SARATHY,Designated Person,Qty 6350,Price 218.8,% Traded 0.00,Post Tnx Hold. 0%
1,"02 Jun, 2021",Acquisition -  ESOP,VIVEK MISHRA,Designated Person,Qty 5790,Price 218.8,% Traded 0.00,Post Tnx Hold. 0%
2,"25 Mar, 2021",Disposal -  Market Sale,RATAN SOMANI,Designated Person,Qty 8000,Price 315.07,% Traded 0.00,Post Tnx Hold. 0%
3,"24 Mar, 2021",Disposal -  Market Sale,RATAN SOMANI,Designated Person,Qty 6000,Price 320.41,% Traded 0.00,Post Tnx Hold. 0%
4,"23 Mar, 2021",Disposal -  Market Sale,RATAN SOMANI,Designated Person,Qty 6000,Price 335.89,% Traded 0.00,Post Tnx Hold. 0%
5,"19 Mar, 2021",Acquisition -  ESOP,RATAN KUMAR SOMANI,Designated Person,Qty 19761,Price 158.96,% Traded 0.00,Post Tnx Hold. 0%
6,"29 Apr, 2021",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 45258616,Price 0,% Traded 2.01,Post Tnx Hold. 8.38%
7,"13 Jan, 2021",Disposal -  Market,ICICI Prudential Asset Management Company Ltd,Other,Qty 424074,Price 0,% Traded 0.02,Post Tnx Hold. 5.02%
8,"19 Aug, 2019",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 46489424,Price 0,% Traded 2.07,Post Tnx Hold. 10.39%
9,"12 Jul, 2019", -,Birla Group Holdings Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 221560841,Price 0,% Traded 9.87,Post Tnx Hold. 10.17%
11,"10 Jul, 2019",Acquisition -  Scheme Of Amalgamation,Birla Group Holdings Pvt Ltd,Promoter,Qty 221560841,Price 0,% Traded 9.87,Post Tnx Hold. 10.17%
