,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021",Disposal -  Market Sale,Chandrasekaran Singaravelu,Employee,Qty 7,Price 2379.14,% Traded 0.00,Post Tnx Hold. 0%
1,"01 Apr, 2021",Disposal -  Market Sale,Chandrasekaran Singaravelu,Employee,Qty 1493,Price 2377.7,% Traded 0.00,Post Tnx Hold. 0%
2,"31 Mar, 2021",Acquisition -  Market Purchase,Sujit Singh Bawa,Employee,Qty 200,Price 2198.4,% Traded 0.00,Post Tnx Hold. 0%
3,"31 Mar, 2021",Acquisition -  ESOP,Sujit Singh Bawa,Employee,Qty 260,Price 2324.6,% Traded 0.00,Post Tnx Hold. 0%
4,"25 Mar, 2021",Acquisition -  Market Purchase,Mohit Sud,Employee,Qty 900,Price 2340,% Traded 0.00,Post Tnx Hold. 0%
5,"22 Mar, 2021",Acquisition -  ESOP,Meenakshi Burra,Employee,Qty 494,Price 2249.7,% Traded 0.00,Post Tnx Hold. 0%
6,"11 May, 2020",Disposal -  Market,GlaxoSmithKline Pte Ltd & PACs,Other,Qty 54083698,Price 0,% Traded 2.30,Post Tnx Hold. 0%
7,"11 May, 2020",Disposal -  Market,Horlicks Ltd & PACs,Other,Qty 79688346,Price 0,% Traded 3.39,Post Tnx Hold. 0%
8,"23 Apr, 2020",Acquisition -  Scheme Of Amalgamation,GlaxoSmithKline Pte Limited & PACs,Other,Qty 54083698,Price 0,% Traded 2.30,Post Tnx Hold. 5.69%
9,"23 Apr, 2020",Acquisition -  Scheme Of Amalgamation,Horlicks Limited & PACs,Other,Qty 79688346,Price 0,% Traded 3.39,Post Tnx Hold. 5.69%
10,"23 Apr, 2020",Acquisition -  Scheme Of Amalgamation,GlaxoSmithKline Pte Limited & PACs,Other,Qty 54083698,Price 0,% Traded 2.30,Post Tnx Hold. 5.69%
11,"23 Apr, 2020",Acquisition -  Scheme Of Amalgamation,Horlicks Limited & PACs,Other,Qty 79688346,Price 0,% Traded 3.39,Post Tnx Hold. 5.69%
