,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Nov, 2020",Disposal -  Market Sale,Shyam Sundar Choudhary,Promoter & Director,Qty 3234280,Price 44.64,% Traded 0.77,Post Tnx Hold. 0%
1,"20 Nov, 2020",Disposal -  Market Sale,Sheela Devi Choudhary,Promoter,Qty 763420,Price 43.51,% Traded 0.18,Post Tnx Hold. 0%
2,"20 Nov, 2020",Disposal -  Market Sale,Himadri Credit & Finance Ltd,Promoter Group,Qty 8002933,Price 41.68,% Traded 1.91,Post Tnx Hold. 0.35%
3,"18 Nov, 2020",Disposal -  Market Sale,Somesh Satnalika,KMP,Qty 24000,Price 46.47,% Traded 0.01,Post Tnx Hold. 0%
4,"17 Nov, 2020",Disposal -  Market Sale,Kamlesh Kumar Agarwal,KMP,Qty 45000,Price 46.73,% Traded 0.01,Post Tnx Hold. 0%
5,"02 Nov, 2020",Acquisition -  Inter-se Transfer,Tushar Choudhary,Promoter & Director,Qty 1484280,Price 0,% Traded 0.35,Post Tnx Hold. 0.35%
6,"24 Feb, 2021",Disposal -  Market,BC India Investments,Other,Qty 15000000,Price 0,% Traded 3.58,Post Tnx Hold. 21.06%
7,"20 Nov, 2020",Disposal -  Market,Shyam Sundar Choudhary & PAC,Promoter,Qty 14496333,Price 0,% Traded 3.47,Post Tnx Hold. 45.44%
8,"02 Nov, 2020",Acquisition -  Transmission,Tushar Choudhary & PACs,Promoter,Qty 1484280,Price 0,% Traded 0.35,Post Tnx Hold. 48.9%
9,"16 Mar, 2019", -,Modern Hi-Rise Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"16 Mar, 2019",Acquisition -  Scheme Of Amalgamation & Arrangement,Modern Hi-Rise Pvt Ltd & PAC,Promoter,Qty 182599607,Price 0,% Traded 43.62,Post Tnx Hold. 48.93%
11,"16 Mar, 2019",Disposal -  Scheme Of Amalgamation & Arrangement,Modern Hi-Rise Pvt Ltd & PAC,Promoter,Qty 182599607,Price 0,% Traded 43.62,Post Tnx Hold. 48.93%
