,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021",Disposal -  Market Sale,Dahlia Infrastructure Private Limited,Promoter Group,Qty 450000,Price 81.12,% Traded 0.10,Post Tnx Hold. 0.01%
1,"31 Mar, 2021",Disposal -  Market Sale,SG Infralands Private Limited,Promoter Group,Qty 4667930,Price 81.96,% Traded 1.03,Post Tnx Hold. 4.36%
2,"31 Mar, 2021",Disposal -  Market Sale,Powerscreen Media Private Limited,Promoter Group,Qty 2150000,Price 83.69,% Traded 0.47,Post Tnx Hold. 0%
3,"31 Mar, 2021",Disposal -  Market Sale,SG Devbuild Private Limited,Promoter Group,Qty 564039,Price 83.41,% Traded 0.12,Post Tnx Hold. 3.61%
4,"26 Mar, 2021",Disposal -  Market Sale,Dahlia Infrastructure Private Limited,Promoter Group,Qty 1500000,Price 90.3,% Traded 0.33,Post Tnx Hold. 0.37%
5,"26 Mar, 2021",Disposal -  Market Sale,SG Infralands Private Limited,Promoter Group,Qty 1363691,Price 91.4,% Traded 0.30,Post Tnx Hold. 6.54%
6,"05 May, 2021", Market,Baillie Gifford & Co,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"30 Mar, 2021",Disposal -  Market,Dahlia Infrastructure Pvt Ltd & PACs,Promoter,Qty 9464833,Price 0,% Traded 2.08,Post Tnx Hold. 13.7%
8,"30 Mar, 2021",Disposal -  Market,Powerscreen Media Pvt Ltd & PACs,Promoter,Qty 9464833,Price 0,% Traded 2.08,Post Tnx Hold. 13.7%
9,"30 Mar, 2021",Disposal -  Market,SG Infralands Pvt Ltd & PACs,Promoter,Qty 9464833,Price 0,% Traded 2.08,Post Tnx Hold. 13.7%
10,"17 Mar, 2021",Disposal -  Market,Kritikka Infrastructure Pvt Ltd & PACs,Promoter,Qty 20122561,Price 0,% Traded 4.42,Post Tnx Hold. 15.78%
11,"17 Mar, 2021",Disposal -  Market,SG Devbuild Pvt Ltd & PACs,Promoter,Qty 20122561,Price 0,% Traded 4.42,Post Tnx Hold. 15.78%
