,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"29 May, 2021",Disposal -  Off Market,Sameer Gehlaut,Promoter & Director,Qty 16751482,Price 0,% Traded 3.76,Post Tnx Hold. 0.11%
1,"29 May, 2021",Disposal -  Off Market,Inuus Infrastructure Private Limited,Promoter Group,Qty 47384632,Price 232,% Traded 10.64,Post Tnx Hold. 7.69%
2,"29 May, 2021",Acquisition -  Off Market,Sameer Gehlaut IBH Trust,Promoter Group,Qty 16751482,Price 0,% Traded 3.76,Post Tnx Hold. 3.62%
3,"29 May, 2021",Acquisition -  Off Market,Sameer Gehlaut IBH Trust,Promoter Group,Qty 47384632,Price 232,% Traded 10.64,Post Tnx Hold. 13.87%
4,"21 Dec, 2020",Disposal -  Market Sale,Vandana A Kumar,Immediate Relative,Qty 100000,Price 206.16,% Traded 0.02,Post Tnx Hold. 0.02%
5,"25 Sep, 2020",Acquisition -  Market Purchase,Indiabulls Housing Finance Limited - Employees Welfare Trust,Other,Qty 4700000,Price 156.22,% Traded 1.12,Post Tnx Hold. 3.48%
6,"29 May, 2021",Disposal -  Off Market Transfer,Inuus Infrastructure Pvt Ltd & PACs,Promoter,Qty 47384632,Price 0,% Traded 10.25,Post Tnx Hold. 21.67%
7,"29 May, 2021",Disposal -  Off Market Transfer,Sameer Gehlaut & PACs,Promoter,Qty 16751482,Price 0,% Traded 3.62,Post Tnx Hold. 21.67%
8,"29 May, 2021",Acquisition -  Off Market Transfer,Sameer Gehlaut IBH Trust & PACs,Promoter,Qty 64136114,Price 0,% Traded 13.87,Post Tnx Hold. 21.67%
9,"29 May, 2021",Acquisition -  Off Market Transfer,Sameer Gehlaut IBH Trust & PACs,Promoter,Qty 64136114,Price 0,% Traded 13.87,Post Tnx Hold. 21.67%
10,"27 Apr, 2021",Acquisition -  Market,HSBC Global Asset Management (Hong Kong) Ltd,,Qty 1159651,Price 0,% Traded 0.25,Post Tnx Hold. 5.08%
11,"17 Sep, 2020", Qip Issue,Inuus Infrastructure Pvt Ltd & Sameer Gehlaut,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 21.67%
