,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Acquisition -  ESOP,SUMIT KAPOOR,Designated Person,Qty 3990,Price 1086.85,% Traded 0.00,Post Tnx Hold. 0%
1,"02 Jun, 2021",Disposal -  Market Sale,VIKAS MEHRA,KMP,Qty 650,Price 1497.1,% Traded 0.00,Post Tnx Hold. 0%
2,"02 Jun, 2021",Acquisition -  ESOP,VIKAS MEHRA,KMP,Qty 1000,Price 715.15,% Traded 0.00,Post Tnx Hold. 0%
3,"02 Jun, 2021",Acquisition -  ESOP,GIRISH NAYAK,Designated Person,Qty 5240,Price 715.15,% Traded 0.00,Post Tnx Hold. 0%
4,"02 Jun, 2021",Acquisition -  ESOP,SANJEEV MANTRI,Director,Qty 10000,Price 715.15,% Traded 0.00,Post Tnx Hold. 0%
5,"31 May, 2021", Pledge Released,SHASHANK BAYA,Designated Person,Qty 200,Price 1527.4,% Traded 0.00,Post Tnx Hold. 0%
6,"19 Jun, 2020",Disposal -  Market,ICICI Bank Ltd,Promoter,Qty 18000000,Price 0,% Traded 3.96,Post Tnx Hold. 51.89%
7,"17 Oct, 2019",Disposal -  Market,FAL Corporation,Promoter,Qty 22303390,Price 0,% Traded 4.91,Post Tnx Hold. 0%
8,"30 Sep, 2019",Disposal -  Market,FAL Corporation,Promoter,Qty 22675380,Price 0,% Traded 4.99,Post Tnx Hold. 4.91%
9,"13 Sep, 2019",Disposal -  Market,Red Bloom Investment Ltd,Other,Qty 12281312,Price 0,% Traded 2.70,Post Tnx Hold. 0%
10,"02 Jul, 2019",Acquisition -  Released,"Deutsche Bank AG,Singapore Branch acting as a Security Agent & Others",Other,Qty 130578,Price 0,% Traded 0.00,Post Tnx Hold. 0.03%
11,"28 Jun, 2019",Disposal -  Market Sale,Red Bloom Investment Ltd,Other,Qty 14329658,Price 0,% Traded 3.15,Post Tnx Hold. 2.7%
