,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Jun, 2019",Acquisition -  Market Purchase,Sunil Kakar,KMP,Qty 100000,Price 35.97,% Traded 0.01,Post Tnx Hold. 0%
1,"17 May, 2017",Disposal -  Market,Bipin Gemani,Designated Person,Qty 75000,Price 63.25,% Traded 0.00,Post Tnx Hold. 0%
2,"12 May, 2017",Disposal -  Market,Vikram Limaye,Director,Qty 50000,Price 64.02,% Traded 0.00,Post Tnx Hold. 0.1%
3,"11 May, 2017",Disposal -  Market,Vikram Limaye,Director,Qty 60000,Price 65.29,% Traded 0.00,Post Tnx Hold. 0.1%
4,"10 May, 2017",Disposal -  Market,Vikram Limaye,Director,Qty 100000,Price 62.77,% Traded 0.01,Post Tnx Hold. 0.12%
5,"10 May, 2017",Disposal -  Market,Vikram Limaye,KMP,Qty 200000,Price 64.32,% Traded 0.01,Post Tnx Hold. 0.11%
6,"08 Jan, 2021",Disposal -  Market,Sipadan Investments (Mauritius) Ltd,Other,Qty 87219567,Price 0,% Traded 5.46,Post Tnx Hold. 0%
7,"07 Jan, 2021",Disposal -  Market,Sipadan Investments (Mauritius) Ltd,Other,Qty 29274847,Price 0,% Traded 1.83,Post Tnx Hold. 5.46%
8,"17 Dec, 2020",Disposal -  Market,Sipadan Investments (Mauritius) Ltd,Other,Qty 34651575,Price 0,% Traded 2.17,Post Tnx Hold. 0%
9,"17 Dec, 2020",Disposal -  Market,Sipadan Investments (Mauritius) Ltd (Revised),Other,Qty 34651575,Price 0,% Traded 2.17,Post Tnx Hold. 7.3%
10,"03 Jul, 2019",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 32106306,Price 0,% Traded 2.01,Post Tnx Hold. 3.08%
11,"01 Jul, 2019",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 32106306,Price 0,% Traded 2.01,Post Tnx Hold. 3.08%
