,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Disposal -  Market Sale,Amit Sengar,Designated Person,Qty 5500,Price 252.56,% Traded 0.00,Post Tnx Hold. 0%
1,"26 May, 2021",Disposal -  Market Sale,Sandeep Malik,Designated Person,Qty 5000,Price 26.1,% Traded 0.00,Post Tnx Hold. 0%
2,"26 May, 2021",Disposal -  Market Sale,Sanjeev Kumar Mishra,Designated Person,Qty 6750,Price 262.52,% Traded 0.00,Post Tnx Hold. 0%
3,"26 May, 2021",Acquisition -  ESOP,SAURABH KUMAR,Designated Person,Qty 10000,Price 106.67,% Traded 0.00,Post Tnx Hold. 0.01%
4,"26 May, 2021",Acquisition -  ESOP,K S S PRASANNA KRISHNA,Designated Person,Qty 12150,Price 106.67,% Traded 0.00,Post Tnx Hold. 0%
5,"26 May, 2021",Acquisition -  ESOP,AMIT SENGAR,Designated Person,Qty 14500,Price 106.67,% Traded 0.00,Post Tnx Hold. 0.01%
6,"25 Jun, 2020",Disposal -  Market,Ardent Impex Pvt Ltd & PACs,Promoter,Qty 250000,Price 0,% Traded 0.07,Post Tnx Hold. 24.99%
7,"24 Jun, 2020",Acquisition -  Market,Nirmal Bhanwarlal Jain & PACs,Promoter,Qty 454000,Price 0,% Traded 0.12,Post Tnx Hold. 25.06%
8,"01 Apr, 2020",Acquisition -  Sch.of Arrangement,CDC Group Plc,Other,Qty 58501587,Price 0,% Traded 15.46,Post Tnx Hold. 15.46%
9,"26 Mar, 2020",Acquisition -  Market,Nirmal Bhanwarlal Jain,Promoter,Qty 82517,Price 0,% Traded 0.03,Post Tnx Hold. 14.78%
10,"24 Mar, 2020",Acquisition -  Market,Nirmal Bhanwarlal Jain & PACs,Promoter,Qty 17483,Price 0,% Traded 0.01,Post Tnx Hold. 29.49%
11,"20 Mar, 2020",Acquisition -  Market,Nirmal Bhanwarlal Jain,Promoter,Qty 35510,Price 0,% Traded 0.01,Post Tnx Hold. 14.75%
