,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 May, 2021",Disposal -  Market Sale,N VENKATESWARAN,Employee,Qty 40000,Price 186.71,% Traded 0.01,Post Tnx Hold. 0%
1,"04 Jan, 2021", Pledge Released,Prince Holdings (Madras) Private Limited,Promoter Group,Qty 3200000,Price 169.15,% Traded 1.03,Post Tnx Hold. 8.39%
2,"04 Jan, 2021", Pledge Released,Anna Investments Private Limited,Promoter Group,Qty 5800000,Price 169.15,% Traded 1.87,Post Tnx Hold. 4.25%
3,"26 Aug, 2020",Acquisition -  Market Purchase,Prince Holdings (Madras) Private Limited,Promoter Group,Qty 493000,Price 120.32,% Traded 0.16,Post Tnx Hold. 8.39%
4,"02 Apr, 2020",Acquisition -  Market Purchase,Anna Investments Private Limited,Promoter Group,Qty 12000,Price 100.62,% Traded 0.00,Post Tnx Hold. 4.25%
5,"30 Mar, 2020",Acquisition -  Market Purchase,Anna Investments Private Limited,Promoter Group,Qty 130000,Price 102.5,% Traded 0.04,Post Tnx Hold. 4.24%
6,"25 Mar, 2020",Acquisition -  Market Purchase,Radhakishan S. Damani & Others,Other,Qty 14656946,Price 0,% Traded 4.73,Post Tnx Hold. 20.73%
7,"16 Mar, 2020",Acquisition -  Market Purchase,Radhakishan S Damani & Others,Other,Qty 12457180,Price 0,% Traded 4.02,Post Tnx Hold. 16%
8,"28 Feb, 2020",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 8069600,Price 0,% Traded 2.60,Post Tnx Hold. 2.5%
9,"27 Feb, 2020",Disposal -  Market,Nippon Life India Trustee Ltd (formerly known as Reliance Capital Trustee Co Ltd) A/c through various schemes of Nippon India Mutual Fund,Other,Qty 5454624,Price 0,% Traded 1.76,Post Tnx Hold. 1.58%
10,"26 Feb, 2020",Acquisition -  Market Purchase,Gopikishan S Damani & PACs,Other,Qty 22519602,Price 0,% Traded 7.27,Post Tnx Hold. 11.98%
11,"25 Oct, 2019",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 1187502,Price 0,% Traded 0.38,Post Tnx Hold. 5.19%
