,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,Infosys Employee Benefits Trust,Trust,Qty 27167,Price 1378.73,% Traded 0.00,Post Tnx Hold. 0.36%
1,"03 Jun, 2021",Disposal -  Market Sale,Shamita Chatterjee,Designated Person,Qty 750,Price 1398,% Traded 0.00,Post Tnx Hold. 0%
2,"02 Jun, 2021",Disposal -  Market Sale,Sunil Kumar Dhareshwar,Designated Person,Qty 500,Price 1392,% Traded 0.00,Post Tnx Hold. 0%
3,"28 May, 2021",Acquisition -  Block Deal,S D Shibulal,Promoter,Qty 722545,Price 1384,% Traded 0.02,Post Tnx Hold. 0.12%
4,"28 May, 2021",Disposal -  Block Deal,Kumari Shibulal,Promoter,Qty 722545,Price 1384,% Traded 0.02,Post Tnx Hold. 0.14%
5,"27 May, 2021",Acquisition -  Off Market,Infosys Employee Benefits Trust,Trust,Qty 44,Price 1381,% Traded 0.00,Post Tnx Hold. 0.36%
6,"01 Jun, 2021",Disposal -  Market,Kumari Shibulal,Other,Qty 667935,Price 0,% Traded 0.02,Post Tnx Hold. 0.12%
7,"01 Jun, 2021",Acquisition -  Market,S D Shibulal,Promoter,Qty 667935,Price 0,% Traded 0.02,Post Tnx Hold. 0.14%
8,"27 May, 2021",Disposal -  Market,Kumari Shibulal,Promoter,Qty 722545,Price 0,% Traded 0.02,Post Tnx Hold. 0.14%
9,"27 May, 2021",Acquisition -  Market,S D Shibulal,Promoter,Qty 722545,Price 0,% Traded 0.02,Post Tnx Hold. 0.12%
10,"24 May, 2021",Disposal -  Market,Kumari Shibulal,Promoter,Qty 745150,Price 0,% Traded 0.02,Post Tnx Hold. 0.16%
11,"24 May, 2021",Acquisition -  Market,S D Shibulal,Promoter,Qty 745150,Price 0,% Traded 0.02,Post Tnx Hold. 0.1%
