,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 Sep, 2019",Disposal -  Market Sale,Mr. Jitender Verma,Designated Person,Qty 2000,Price 323.91,% Traded 0.00,Post Tnx Hold. 0%
1,"26 Sep, 2019",Acquisition -  Market Purchase,Mr. Jitender Verma,Designated Person,Qty 1500,Price 325,% Traded 0.00,Post Tnx Hold. 0.01%
2,"26 Sep, 2019",Disposal -  Market Sale,Mr. Jitender Verma,Designated Person,Qty 1500,Price 320.93,% Traded 0.00,Post Tnx Hold. 0%
3,"25 May, 2019",Disposal -  Market Sale,ALOK TANDON,KMP,Qty 10000,Price 350,% Traded 0.01,Post Tnx Hold. 0.02%
4,"01 Mar, 2019",Disposal -  Market Sale,ALOK TANDON,KMP,Qty 5000,Price 272.35,% Traded 0.00,Post Tnx Hold. 0.03%
5,"03 Dec, 2018",Acquisition -  Preferential Offer,GUJARAT FLUOROCHEMICALS LIMITED,Promoter,Qty 6400000,Price 250,% Traded 6.65,Post Tnx Hold. 51.32%
6,"28 Jan, 2021",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 26498,Price 0,% Traded 0.02,Post Tnx Hold. 8.47%
7,"27 Jan, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 2083300,Price 0,% Traded 1.85,Post Tnx Hold. 2.86%
8,"09 Dec, 2020",Disposal -  Market,HDFC Asset Management Company Ltd,Other,Qty 2280411,Price 0,% Traded 2.21,Post Tnx Hold. 5.15%
9,"20 Nov, 2020", Qualified Institutional Placement (qip),GFL Ltd,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 46.85%
10,"17 Nov, 2020",Acquisition -  Market & Qip Allotment,ICICI Prudential Mutual Fund,Other,Qty 3435324,Price 0,% Traded 3.05,Post Tnx Hold. 6.47%
11,"13 Nov, 2020", Qualified Institutional Placement (qip),GFL Ltd,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 41.17%
