,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Disposal -  Market Sale,T VENKATESAN,Employee,Qty 2350,Price 780,% Traded 0.00,Post Tnx Hold. 0%
1,"02 Jun, 2021",Disposal -  Market Sale,AKASH GUPTA,Designated Person,Qty 1300,Price 774.63,% Traded 0.00,Post Tnx Hold. 0%
2,"31 May, 2021",Disposal -  Market Sale,Shahid Salim,Employee,Qty 2500,Price 771.5,% Traded 0.00,Post Tnx Hold. 0%
3,"31 May, 2021",Disposal -  Market Sale,SRIRAM VAIDHEESWARAN,Designated Person,Qty 4000,Price 767.63,% Traded 0.00,Post Tnx Hold. 0.02%
4,"28 May, 2021",Disposal -  Market Sale,Subramaniam Swaminathan,Connected Person,Qty 4000,Price 780,% Traded 0.00,Post Tnx Hold. 0.13%
5,"27 May, 2021",Disposal -  Market Sale,Subramaniam Swaminathan,Connected Person,Qty 6000,Price 763.47,% Traded 0.00,Post Tnx Hold. 0.13%
6,"08 Feb, 2021",Acquisition -  Market,White Oak Capital Management LLP on behalf of Funds /PMS/SMA managed/ advised,Other,Qty 113413,Price 0,% Traded 0.09,Post Tnx Hold. 5.04%
7,"11 Sep, 2020",Acquisition -  Market,Amansa Holdings Pvt Ltd & Amansa Investments Ltd,Other,Qty 1038859,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"11 Sep, 2019",Acquisition -  Market,Amansa Holdings Pvt Ltd,Other,Qty 191480,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"22 Jul, 2019",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 2761999,Price 0,% Traded 2.09,Post Tnx Hold. 4.52%
10,"12 Sep, 2018",Acquisition -  Preferential,Arun Jain & Pacs,Promoter,Qty 2460945,Price 0,% Traded 7.37,Post Tnx Hold. 31.66%
11,"09 Oct, 2017",Acquisition -  Market,Polaris Banyan Holding Pvt Ltd & PACs,Promoter,Qty 9075611,Price 0,% Traded 7.26,Post Tnx Hold. 31.15%
