,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"30 Mar, 2021",Acquisition -  Market Purchase,Dr. Goutam Muhuri,Designated Person,Qty 1000,Price 1887.35,% Traded 0.00,Post Tnx Hold. 0%
1,"25 Feb, 2021",Disposal -  Market Sale,Harish Kamath,Designated Person,Qty 7000,Price 1819.39,% Traded 0.01,Post Tnx Hold. 0%
2,"14 Dec, 2020",Disposal -  Market Sale,Dr. Ashok Kumar,Designated Person,Qty 1000,Price 2250,% Traded 0.00,Post Tnx Hold. 0.03%
3,"25 Nov, 2020",Disposal -  Market Sale,Dr. Ashok Kumar,Designated Person,Qty 500,Price 2200,% Traded 0.00,Post Tnx Hold. 0.03%
4,"30 Sep, 2020",Disposal -  Market Sale,Prakash Nayak,Employee,Qty 2000,Price 2094.38,% Traded 0.00,Post Tnx Hold. 0%
5,"30 Sep, 2020",Disposal -  Market Sale,E J Babu,Employee,Qty 2700,Price 2060.13,% Traded 0.00,Post Tnx Hold. 0%
6,"13 Apr, 2020",Disposal -  Market,DSP Global Services (Mauritius) Limited (erstwhile known as DSP Investment Managers (Mauritius) Limited) & Other,Other,Qty 222637,Price 0,% Traded 0.18,Post Tnx Hold. 5.42%
7,"27 Sep, 2018",Acquisition -  Market,DSP Trustee Pvt Ltd,Other,Qty 783788,Price 0,% Traded 0.62,Post Tnx Hold. 7.47%
8,"06 Jul, 2018",Disposal -  Market,ICICI Prudential Asset Management Company Ltd,Other,Qty 58954,Price 0,% Traded 0.05,Post Tnx Hold. 3.36%
9,"16 Feb, 2018",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 359622,Price 0,% Traded 0.28,Post Tnx Hold. 5.37%
10,"20 Jun, 2017",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 618101,Price 0,% Traded 0.49,Post Tnx Hold. 7.4%
11,"19 Jun, 2017",Acquisition -  Market,DSP BlackRock Trustee Company Pvt Ltd,Other,Qty 615000,Price 0,% Traded 0.49,Post Tnx Hold. 5.13%
