,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Jun, 2021", Invocation Of Pledged,Dattatray P. Mhaiskar,Promoter Group,Qty 125000,Price 110.81,% Traded 0.04,Post Tnx Hold. 0.11%
1,"01 Jun, 2021", Invocation Of Pledged,Dattatray P. Mhaiskar,Promoter Group,Qty 106000,Price 110.7,% Traded 0.03,Post Tnx Hold. 0.08%
2,"01 Jun, 2021", Invocation Of Pledged,Dattatray P. Mhaiskar,Promoter Group,Qty 150000,Price 109.27,% Traded 0.04,Post Tnx Hold. 0.03%
3,"01 Jun, 2021", Invocation Of Pledged,Dattatray P. Mhaiskar,Promoter Group,Qty 119000,Price 107.42,% Traded 0.03,Post Tnx Hold. 0%
4,"30 Sep, 2020",Acquisition -  Market Purchase,Virendra Mhaiskar,Promoter & Director,Qty 200000,Price 113.61,% Traded 0.06,Post Tnx Hold. 1.13%
5,"29 Sep, 2020",Acquisition -  Market Purchase,Virendra Mhaiskar,Promoter & Director,Qty 2500000,Price 114.24,% Traded 0.71,Post Tnx Hold. 1.08%
6,"31 May, 2021", Invocation,Dattatray P Mhaiskar,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"06 May, 2021",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 7129358,Price 0,% Traded 2.03,Post Tnx Hold. 7.06%
8,"30 Sep, 2020",Acquisition -  Market,Virendra Dattatraya Mhaiskar & PACs,Promoter,Qty 200000,Price 0,% Traded 0.06,Post Tnx Hold. 58.33%
9,"08 Sep, 2020",Acquisition -  Market,Virendra Dattatraya Mhaiskar & PACs,Promoter,Qty 360000,Price 0,% Traded 0.10,Post Tnx Hold. 47.57%
10,"03 Aug, 2020",Acquisition -  Market,GIC Pvt Ltd on Alc of Government of Singapore and the Monetary Authority of & Singapore & Others,Other,Qty 317227,Price 0,% Traded 0.09,Post Tnx Hold. 5.04%
11,"01 Apr, 2020",Acquisition -  Market,Virendra Dattatraya Mhaiskar & PACs,Promoter,Qty 164993,Price 0,% Traded 0.05,Post Tnx Hold. 57.46%
