,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Nov, 2020",Acquisition -  Market Purchase,DHIRENDRA MOHAN GUPTA,Promoter Group,Qty 10000,Price 36.98,% Traded 0.00,Post Tnx Hold. 0.09%
1,"02 Sep, 2020",Acquisition -  Market Purchase,SUNIL GUPTA,Director,Qty 50000,Price 39.6,% Traded 0.02,Post Tnx Hold. 0.04%
2,"02 Sep, 2020",Acquisition -  Market Purchase,SAMEER GUPTA,Promoter Group,Qty 50000,Price 39.58,% Traded 0.02,Post Tnx Hold. 0.06%
3,"10 Aug, 2020",Acquisition -  Market Purchase,DEVESH GUPTA,Promoter Group,Qty 10000,Price 37.96,% Traded 0.00,Post Tnx Hold. 0.03%
4,"07 Aug, 2020",Acquisition -  Market Purchase,DHIRENDRA MOHAN GUPTA,Promoter Group,Qty 10000,Price 37.99,% Traded 0.00,Post Tnx Hold. 0.09%
5,"07 Aug, 2020",Acquisition -  Market Purchase,TARUN GUPTA,Promoter Group,Qty 10000,Price 38.14,% Traded 0.00,Post Tnx Hold. 0.04%
6,"27 Apr, 2021",Disposal -  Market,Franklin Templeton Mutual Fund,Other,Qty 1881960,Price 0,% Traded 0.68,Post Tnx Hold. 2.44%
7,"17 Nov, 2020",Acquisition -  Market,Dhirendra Mohan Gupta,Promoter,Qty 10000,Price 0,% Traded 0.00,Post Tnx Hold. 0.09%
8,"10 Aug, 2020",Acquisition -  Market,Devesh Gupta,Promoter,Qty 10000,Price 0,% Traded 0.00,Post Tnx Hold. 0.03%
9,"07 Aug, 2020",Acquisition -  Market,Dhirendra Mohan Gupta,Promoter,Qty 10000,Price 0,% Traded 0.00,Post Tnx Hold. 0.09%
10,"07 Aug, 2020",Acquisition -  Market,Tarun Gupta,Promoter,Qty 10000,Price 0,% Traded 0.00,Post Tnx Hold. 0.04%
11,"30 Mar, 2020",Acquisition -  Market,,,Qty 18544,Price 0,% Traded 0.01,Post Tnx Hold. 65.02%
