,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 Mar, 2020",Acquisition -  Inter-se Transfer,Gaurav Jain,Promoter & Director,Qty 18211700,Price 0,% Traded 10.20,Post Tnx Hold. 10.21%
1,"12 Mar, 2020",Disposal -  Inter-se Transfer,Evergreen Trust,Promoter,Qty 18211700,Price 0,% Traded 10.20,Post Tnx Hold. 0%
2,"05 Jul, 2019",Acquisition -  Inter-se Transfer,Ankit Jain,Promoter,Qty 21719120,Price 0,% Traded 12.17,Post Tnx Hold. 12.17%
3,"05 Jul, 2019",Disposal -  Inter-se Transfer,Aero Trust,Promoter,Qty 21719120,Price 0,% Traded 12.17,Post Tnx Hold. 0%
4,"05 Jul, 2019",Disposal -  Inter-se Transfer,Iceberg Trust,Promoter,Qty 21273120,Price 0,% Traded 11.92,Post Tnx Hold. 0%
5,"05 Jul, 2019",Acquisition -  Inter-se Transfer,Ruchi Jain,Promoter,Qty 21273120,Price 0,% Traded 11.92,Post Tnx Hold. 11.92%
6,"13 Mar, 2020",Disposal -  Inter-se Transfer,Evergreen Trust,Promoter,Qty 18211700,Price 0,% Traded 10.21,Post Tnx Hold. 0%
7,"13 Mar, 2020",Acquisition -  Inter-se Transfer,Gaurav Jain,Promoter,Qty 18211700,Price 0,% Traded 10.21,Post Tnx Hold. 10.21%
8,"13 Mar, 2020",Acquisition -  Inter-se Transfer,Gaurav Jain,Promoter,Qty 18211700,Price 0,% Traded 10.21,Post Tnx Hold. 10.21%
9,"13 Mar, 2020",Acquisition -  -,Gaurav Jain,Other,Qty 18211700,Price 0,% Traded 10.21,Post Tnx Hold. 0%
10,"28 Feb, 2020",Acquisition -  ,Gaurav Jain,Promoter,Qty 18211700,Price 0,% Traded 10.21,Post Tnx Hold. 0%
11,"05 Jul, 2019",Acquisition -  -,Ankit Jain,Other,Qty 21719120,Price 0,% Traded 12.17,Post Tnx Hold. 0%
