,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"15 Feb, 2021", Revocation Of Pledge,Pradeep Singh Jauhar,Promoter,Qty 481593,Price 66.7,% Traded 0.12,Post Tnx Hold. 5.73%
1,"15 Feb, 2021", Revocation Of Pledge,Map Auto Limited,Promoter,Qty 3157560,Price 66.7,% Traded 0.79,Post Tnx Hold. 33.88%
2,"29 Oct, 2020", Creation Of Pledge,Pradeep Singh Jauhar,Promoter,Qty 73966,Price 41.5,% Traded 0.02,Post Tnx Hold. 5.73%
3,"15 Oct, 2020", Revocation Of Pledge,Map Auto Limited,Promoter,Qty 500000,Price 44.65,% Traded 0.13,Post Tnx Hold. 33.88%
4,"15 Oct, 2020", Revocation Of Pledge,Pradeep Singh Jauhar,Promoter,Qty 150000,Price 44.65,% Traded 0.04,Post Tnx Hold. 5.73%
5,"13 Oct, 2020", Creation Of Pledge,Pradeep Singh Jauhar,Promoter,Qty 72923,Price 43.65,% Traded 0.02,Post Tnx Hold. 5.73%
6,"23 Sep, 2020",Acquisition -  Market Purchase,Pradeep Singh Jauhar,Promoter,Qty 150000,Price 0,% Traded 0.04,Post Tnx Hold. 5.74%
7,"10 Sep, 2020",Acquisition -  Market,Kirandeep Chadha,Promoter,Qty 13000,Price 0,% Traded 0.00,Post Tnx Hold. 0.01%
8,"10 Sep, 2020",Acquisition -  Market,Pradeep Singh Jauhar,Promoter,Qty 45000,Price 0,% Traded 0.01,Post Tnx Hold. 5.7%
9,"10 Sep, 2020",Acquisition -  Market,Jamna Agro Implements Pvt Ltd,Promoter,Qty 22000,Price 0,% Traded 0.01,Post Tnx Hold. 0.26%
10,"09 Sep, 2020",Acquisition -  Market,Map Auto Ltd,Promoter,Qty 72000,Price 0,% Traded 0.02,Post Tnx Hold. 33.86%
11,"09 Sep, 2020",Acquisition -  Market,Pradeep Singh Jauhar,Promoter,Qty 130000,Price 0,% Traded 0.04,Post Tnx Hold. 5.69%
