,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Mar, 2021",Disposal -  Market Sale,Mitesh Kothari,Designated Person,Qty 750,Price 1166.67,% Traded 0.00,Post Tnx Hold. 0%
1,"26 Feb, 2021",Acquisition -  Market Purchase,Namrata Kushal Dalal,Promoters Immediate Relative,Qty 2000,Price 1146.25,% Traded 0.00,Post Tnx Hold. 0%
2,"26 Feb, 2021",Acquisition -  Market Purchase,Bharat P Mehta,Promoter Group,Qty 3734,Price 1131.9,% Traded 0.00,Post Tnx Hold. 0%
3,"26 Feb, 2021",Disposal -  Market Sale,Mitesh Kothari,Designated Person,Qty 1000,Price 1130,% Traded 0.00,Post Tnx Hold. 0%
4,"25 Feb, 2021",Acquisition -  Market Purchase,J. B. Mody Enterprises LLP,Other,Qty 20000,Price 1124.28,% Traded 0.03,Post Tnx Hold. 0.03%
5,"25 Feb, 2021",Disposal -  Market Sale,Pallavi Bharat Mehta Family Foundation,Other,Qty 13991,Price 1122,% Traded 0.02,Post Tnx Hold. 0%
6,"09 Dec, 2020",Disposal -  Market,DSP Trustee Pvt Ltd & Others,Other,Qty 30619,Price 0,% Traded 0.04,Post Tnx Hold. 2.98%
7,"10 Nov, 2020", Pledge Creation,"BNP Paribas, acting through its Hong Kong Branch",Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"09 Nov, 2020",Disposal -  Off Market,Bharat P Mehta,Promoter,Qty 2069516,Price 0,% Traded 2.68,Post Tnx Hold. 0%
9,"09 Nov, 2020",Disposal -  Off Market,D B Mody HUF,Promoter,Qty 380168,Price 0,% Traded 0.49,Post Tnx Hold. 0%
10,"09 Nov, 2020",Disposal -  Off Market,Jay Bharat Mehta,Promoter,Qty 1862321,Price 0,% Traded 2.41,Post Tnx Hold. 0%
11,"09 Nov, 2020",Disposal -  Off Market,Kumud Dinesh Mody,Promoter,Qty 3661669,Price 0,% Traded 4.74,Post Tnx Hold. 0%
