,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2021",Disposal -  Market Sale,KALPANA SINGHANIA,Promoter Group,Qty 5000,Price 2382.89,% Traded 0.01,Post Tnx Hold. 0.64%
1,"31 Mar, 2021",Disposal -  Gift,KALPANA SINGHANIA,Promoter Group,Qty 4000,Price 0,% Traded 0.01,Post Tnx Hold. 0.65%
2,"31 Mar, 2021",Acquisition -  Gift,NIDHIPATI SINGHANIA,Promoter Group,Qty 4000,Price 0,% Traded 0.01,Post Tnx Hold. 0.05%
3,"16 Feb, 2021",Disposal -  Market Sale,KALPANA SINGHANIA,Promoter Group,Qty 10000,Price 2410.57,% Traded 0.01,Post Tnx Hold. 0.63%
4,"16 Feb, 2021",Disposal -  Market Sale,KALPANA SINGHANIA,Promoter Group,Qty 5000,Price 2625.72,% Traded 0.01,Post Tnx Hold. 0.62%
5,"12 Feb, 2021",Disposal -  Gift,KALPANA SINGHANIA,Promoter Group,Qty 5000,Price 0,% Traded 0.01,Post Tnx Hold. 0.65%
6,"31 Mar, 2021",Disposal -  Inter-se Transfer,Kalpana Singhania,Promoter,Qty 4000,Price 0,% Traded 0.00,Post Tnx Hold. 0.62%
7,"31 Mar, 2021",Acquisition -  Inter-se Transfer,Nidhipati Singhania,Promoter,Qty 4000,Price 0,% Traded 0.00,Post Tnx Hold. 0.05%
8,"15 Mar, 2021",Disposal -  Market,Abhishek Singhania,Promoter,Qty 50000,Price 0,% Traded 0.06,Post Tnx Hold. 5.19%
9,"15 Feb, 2021",Disposal -  Market,Kalpana Singhania,Promoter,Qty 10000,Price 0,% Traded 0.01,Post Tnx Hold. 0.63%
10,"15 Feb, 2021",Disposal -  Market,Kalpana Singhania,Promoter,Qty 5000,Price 0,% Traded 0.01,Post Tnx Hold. 0.62%
11,"12 Feb, 2021",Disposal -  Market,Kalpana Singhania,Promoter,Qty 5000,Price 0,% Traded 0.01,Post Tnx Hold. 0.64%
