,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021",Disposal -  Inter-se Transfer,Bharat Hari Singhania (HUF),Promoter Group,Qty 57258,Price 0,% Traded 0.05,Post Tnx Hold. 0%
1,"01 Apr, 2021",Acquisition -  Inter-se Transfer,Bharat Hari Singhania,Promoter Group,Qty 22902,Price 0,% Traded 0.02,Post Tnx Hold. 0.18%
2,"01 Apr, 2021",Acquisition -  Inter-se Transfer,Sharda Singhania,Promoter Group,Qty 11452,Price 0,% Traded 0.01,Post Tnx Hold. 0.03%
3,"01 Apr, 2021",Acquisition -  Inter-se Transfer,Harsh Pati Singhania (HUF),Promoter Group,Qty 11452,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
4,"01 Apr, 2021",Acquisition -  Inter-se Transfer,Vikrampati Singhania (HUF),Promoter Group,Qty 11452,Price 0,% Traded 0.01,Post Tnx Hold. 0.01%
5,"30 Jun, 2020",Acquisition -  Market Purchase,Bharat Hari Singhania,Director,Qty 9600,Price 250.26,% Traded 0.01,Post Tnx Hold. 0.16%
6,"19 May, 2021",Disposal -  Market,Franklin Templeton Mutual Fund,Other,Qty 183506,Price 0,% Traded 0.16,Post Tnx Hold. 7.23%
7,"08 Jan, 2021",Disposal -  Market,Navodya Enterprises & PACS,Other,Qty 64989,Price 0,% Traded 0.05,Post Tnx Hold. 3.07%
8,"07 Jan, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 49178,Price 0,% Traded 0.04,Post Tnx Hold. 3.03%
9,"28 May, 2019",Acquisition -  Sch.of Arrangement,Bengal & Assam Company Ltd,Promoter,Qty 24656426,Price 0,% Traded 20.96,Post Tnx Hold. 44.8%
10,"21 Feb, 2019",Disposal -  Market,HDFC Life Insurance Co. Ltd.,Other,Qty 118193,Price 0,% Traded 0.10,Post Tnx Hold. 2.91%
11,"05 Oct, 2018",Acquisition -  Market,Franklin Templeton Mutual Fund,Other,Qty 126216,Price 0,% Traded 0.11,Post Tnx Hold. 9.34%
