,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"21 Mar, 2020",Acquisition -  Market Purchase,Raghupati Singhania,Promoter Group,Qty 117675,Price 84.15,% Traded 0.07,Post Tnx Hold. 0.48%
1,"21 Mar, 2020",Acquisition -  Market Purchase,Vinita Singhania,Promoter Group,Qty 122380,Price 85.69,% Traded 0.07,Post Tnx Hold. 0.41%
2,"21 Mar, 2020",Acquisition -  Market Purchase,Sunanda Singhania,Promoter Group,Qty 78107,Price 84.33,% Traded 0.04,Post Tnx Hold. 0.11%
3,"21 Mar, 2020",Acquisition -  Market Purchase,Harsh Pati  Singhania,Promoter Group,Qty 81777,Price 83.32,% Traded 0.05,Post Tnx Hold. 0.26%
4,"21 Mar, 2020",Acquisition -  Market Purchase,Vikrampati Singhania,Promoter Group,Qty 89700,Price 83.01,% Traded 0.05,Post Tnx Hold. 0.26%
5,"24 Feb, 2020",Disposal -  Market Sale,Accurate Finman Services Limited,Promoter Group,Qty 90000,Price 121.71,% Traded 0.05,Post Tnx Hold. 0.18%
6,"13 Nov, 2020", Buy Back,Bengal & Assam Company Ltd & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 51.44%
7,"30 Oct, 2019",Disposal -  Market,"Pradip Kumar Khaitan jointly with Shreekant Somany-Trustees,JK Paper Employees Welfare Trust",Other,Qty 1437492,Price 0,% Traded 2.03,Post Tnx Hold. 5.31%
8,"28 May, 2019",Acquisition -  Sch.of Arrangement,Bengal & Assam Company Ltd,Promoter,Qty 41923129,Price 0,% Traded 23.52,Post Tnx Hold. 43.95%
9,"30 Aug, 2018",Disposal -  Market,International Finance Corporation FDI AC,Other,Qty 201664,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"03 Mar, 2017",Acquisition -  -,BMF Investments Ltd,Other,Qty 27837500,Price 0,% Traded 15.62,Post Tnx Hold. 0%
11,"03 Mar, 2017",Acquisition -  Inter Scheme Trf.,BMF Investments Ltd,Promoter,Qty 27837500,Price 0,% Traded 17.85,Post Tnx Hold. 19.29%
