,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021",Acquisition -  Off Market,Vikram Pati Singhania HUF,Promoter Group,Qty 97449,Price 0,% Traded 0.04,Post Tnx Hold. 0.13%
1,"01 Apr, 2021",Disposal -  Off Market,Bharat Hari Singhania HUF,Promoter Group,Qty 425245,Price 0,% Traded 0.17,Post Tnx Hold. 0%
2,"01 Apr, 2021",Acquisition -  Off Market,Bharat Hari Singhania,Promoter & Director,Qty 132898,Price 0,% Traded 0.05,Post Tnx Hold. 0.44%
3,"01 Apr, 2021",Acquisition -  Off Market,Sharda Singhania,Promoter Group,Qty 97449,Price 0,% Traded 0.04,Post Tnx Hold. 0.04%
4,"01 Apr, 2021",Acquisition -  Off Market,Harsh Pati Singhania HUF,Promoter Group,Qty 97449,Price 0,% Traded 0.04,Post Tnx Hold. 0.13%
5,"01 Jul, 2020",Acquisition -  Market Purchase,BHARAT HARI SINGHANIA,Promoter & Director,Qty 38500,Price 63.76,% Traded 0.02,Post Tnx Hold. 0.39%
6,"11 Sep, 2020",Disposal -  Market,Edgefield Securities Ltd,Other,Qty 7000000,Price 0,% Traded 2.84,Post Tnx Hold. 4.24%
7,"26 Aug, 2020",Disposal -  Market,Edgefield Securities Ltd,Other,Qty 7000000,Price 0,% Traded 2.84,Post Tnx Hold. 4.24%
8,"04 Sep, 2019", Released,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"22 Aug, 2019", Released,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"06 Aug, 2019", Pledge,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"24 Jun, 2019", Pledge,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
