,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Apr, 2021",Acquisition -  Market Purchase,JSL OVERSEAS LIMITED,Promoter Group,Qty 979000,Price 123.45,% Traded 0.41,Post Tnx Hold. 11.67%
1,"12 Jul, 2018", Creation Of Pledge,SUN INVESTMENT PRIVATE LIMITED,Promoter Group,Qty 965,Price 143.6,% Traded 0.00,Post Tnx Hold. 3.94%
2,"05 Dec, 2017",Disposal -  Off Market,Sajjan Jindal,Promoter,Qty 47748,Price 0,% Traded 0.02,Post Tnx Hold. 0%
3,"05 Dec, 2017",Acquisition -  Off Market,Sangita Jindal,Promoter,Qty 47748,Price 0,% Traded 0.02,Post Tnx Hold. 0.04%
4,"22 Sep, 2017",Acquisition -  Market,Dr. Veera Gupta,Immediate Relative,Qty 50000,Price 197.4,% Traded 0.02,Post Tnx Hold. 0.06%
5,"26 Aug, 2017",Acquisition -  Market,Dr Mrs Veera Gupta,Immediate Relative,Qty 31000,Price 176.39,% Traded 0.01,Post Tnx Hold. 0.02%
6,"19 Apr, 2018",Acquisition -  Market,Hypnos Fund Ltd (Revised),Other,Qty 680000,Price 0,% Traded 0.28,Post Tnx Hold. 5.03%
7,"24 Jan, 2018",Disposal -  Market,Reliance Nippon Life Asset Management Ltd,Other,Qty 156733,Price 0,% Traded 0.06,Post Tnx Hold. 3.39%
8,"04 Dec, 2017",Acquisition -  Off Market Transfer - Gift,Sangita Jindal & Others,Promoter,Qty 47748,Price 0,% Traded 0.02,Post Tnx Hold. 57.67%
9,"12 Jun, 2017", Pledge,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"01 Jun, 2017", Pledge,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"06 May, 2017", Pledge,SBICAP Trustee Company Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
