,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"19 May, 2021", Revocation Of Pledge,Suman Kumar,Designated Person,Qty 3000,Price 2805.25,% Traded 0.00,Post Tnx Hold. 0.01%
1,"18 Feb, 2021",Disposal -  ESOP,JFL Employees Welfare Trust,Trust,Qty 11543,Price 552.35,% Traded 0.01,Post Tnx Hold. 0.17%
2,"18 Feb, 2021",Acquisition -  ESOP,PRATIK RASHMIKANT POTA,KMP,Qty 11543,Price 2881.8,% Traded 0.01,Post Tnx Hold. 0.02%
3,"18 Feb, 2021", Creation Of Pledge,PRATIK RASHMIKANT POTA,KMP,Qty 13000,Price 2881.8,% Traded 0.01,Post Tnx Hold. 0.02%
4,"15 Feb, 2021",Disposal -  Market Sale,LAXMIDATTA DALBEHERA,Other,Qty 500,Price 2796.4,% Traded 0.00,Post Tnx Hold. 0%
5,"15 Feb, 2021",Disposal -  Market Sale,LAXMIDATTA DALBEHERA,Other,Qty 150,Price 2830,% Traded 0.00,Post Tnx Hold. 0%
6,"09 Apr, 2021",Acquisition -  Market,Sands Capital Management LLC,Other,Qty 3936023,Price 0,% Traded 2.98,Post Tnx Hold. 7.02%
7,"28 Mar, 2019",Disposal -  Transfer,JF Asset Management Ltd,Other,Qty 1254010,Price 0,% Traded 0.95,Post Tnx Hold. 2.98%
8,"14 Mar, 2019",Disposal -  Market,Jubilant Consumer Pvt Ltd & PAC,Promoter,Qty 3959071,Price 0,% Traded 3.00,Post Tnx Hold. 35.04%
9,"28 Nov, 2018",Acquisition -  Market,Sands Capital Management LLC,Other,Qty 13900,Price 0,% Traded 0.01,Post Tnx Hold. 5%
