,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 May, 2021",Disposal -  Market Sale,R. Lalitha,Designated Person,Qty 2000,Price 791,% Traded 0.00,Post Tnx Hold. 0.01%
1,"28 May, 2021",Disposal -  Market Sale,R. Lalitha,Designated Person,Qty 1131,Price 806,% Traded 0.00,Post Tnx Hold. 0.01%
2,"28 May, 2021",Acquisition -  ESOP,R. Lalitha,Designated Person,Qty 945,Price 80,% Traded 0.00,Post Tnx Hold. 0.01%
3,"28 May, 2021",Acquisition -  ESOP,R. Lalitha,Designated Person,Qty 7237,Price 10,% Traded 0.01,Post Tnx Hold. 0.02%
4,"08 Jan, 2021", Pledge Released,V. Krishnan,Promoter & Director,Qty 5000,Price 670.9,% Traded 0.01,Post Tnx Hold. 0.68%
5,"05 Jan, 2021", Pledge Released,V. Krishnan,Promoter & Director,Qty 128000,Price 633.05,% Traded 0.21,Post Tnx Hold. 0.68%
6,"17 Mar, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 1244394,Price 0,% Traded 2.01,Post Tnx Hold. 3.59%
7,"26 Feb, 2021",Disposal -  Market,HDFC Asset Management Company Ltd,Other,Qty 1690653,Price 0,% Traded 2.73,Post Tnx Hold. 5.6%
8,"05 Oct, 2020",Acquisition -  Inter-se Transfer,Anita Mani & Others,Promoter,Qty 836799,Price 0,% Traded 1.35,Post Tnx Hold. 3.12%
9,"05 Oct, 2020",Acquisition -  Inter-se Transfer,Eshwary Krishnan & Others,Promoter,Qty 30000,Price 0,% Traded 0.05,Post Tnx Hold. 0.36%
10,"05 Oct, 2020",Acquisition -  Inter-se Transfer,Manasi Iyer & Others,Promoter,Qty 133975,Price 0,% Traded 0.22,Post Tnx Hold. 0.22%
11,"05 Oct, 2020",Disposal -  Inter-se Transfer,V Krishnan & Others,Promoter,Qty 30130,Price 0,% Traded 0.05,Post Tnx Hold. 0.68%
