,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 Feb, 2021",Disposal -  Market Sale,RAJEEV GUPTA,Designated Person,Qty 1000,Price 987.77,% Traded 0.00,Post Tnx Hold. 0%
1,"15 Feb, 2021",Disposal -  Market Sale,ARUN LATH,Designated Person,Qty 3071,Price 906.43,% Traded 0.00,Post Tnx Hold. 0%
2,"15 Feb, 2021",Disposal -  Market Sale,ARUN LATH,Designated Person,Qty 800,Price 950.5,% Traded 0.00,Post Tnx Hold. 0%
3,"15 Feb, 2021",Disposal -  Market Sale,RAJEEV GUPTA,Designated Person,Qty 500,Price 950,% Traded 0.00,Post Tnx Hold. 0%
4,"09 Feb, 2021",Disposal -  Market Sale,Dhirendra Joshi,Employee,Qty 2000,Price 873.58,% Traded 0.00,Post Tnx Hold. 0%
5,"09 Feb, 2021",Disposal -  Market Sale,Rajeev Gupta,Employee,Qty 1000,Price 898.1,% Traded 0.00,Post Tnx Hold. 0%
6,"27 Dec, 2019",Disposal -  Transferred,"Ashok Kajaria J/w Rishi Kajaria,in the capacity of former joint trustees of Versha Kajaria Family Pvt Trust",Promoter,Qty 12933973,Price 0,% Traded 8.14,Post Tnx Hold. 47.58%
7,"27 Dec, 2019",Acquisition -  Transferred,RK Trustees Pvt Ltd (in its capacity as the sole trustee of Rishi Kajaria Family Pvt Trust),Promoter,Qty 25867947,Price 0,% Traded 16.27,Post Tnx Hold. 47.58%
8,"27 Dec, 2019",Disposal -  Transferred,Versha Kajaria J/w Chetan Kajaria,Promoter,Qty 25867947,Price 0,% Traded 16.27,Post Tnx Hold. 47.58%
9,"27 Dec, 2019",Acquisition -  Transferred,VK Trustees Pvt Ltd (in its capacity as the sole trustee of versha kajaria family pvt trust),Promoter,Qty 12933973,Price 0,% Traded 8.14,Post Tnx Hold. 47.58%
10,"27 Dec, 2019",Acquisition -  -,RK Trustees Pvt Ltd,Other,Qty 25867947,Price 0,% Traded 16.27,Post Tnx Hold. 0%
11,"27 Dec, 2019",Acquisition -  -,VK Trustees Pvt Ltd,Other,Qty 12933973,Price 0,% Traded 8.14,Post Tnx Hold. 0%
