,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Nov, 2016",Acquisition -  Market,Kansai Paint Co. Ltd,Promoter,Qty 849814,Price 320.96,% Traded 0.16,Post Tnx Hold. 74.99%
1,"11 Nov, 2016",Acquisition -  Market,Kansai Paint Co Ltd,Promoter,Qty 25000,Price 371.08,% Traded 0.00,Post Tnx Hold. 74.83%
2,"10 Nov, 2016",Acquisition -  Market,Kansai Paint Co Ltd,Promoter,Qty 1075000,Price 363.54,% Traded 0.20,Post Tnx Hold. 74.83%
3,"09 Nov, 2016",Acquisition -  Market,Kansai Paint Co. Ltd,Promoter,Qty 226643,Price 371.13,% Traded 0.04,Post Tnx Hold. 74.63%
4,"09 Nov, 2016",Acquisition -  Market,Kansai Paint Co. Ltd,Promoter,Qty 6458,Price 371.13,% Traded 0.00,Post Tnx Hold. 74.63%
5,"08 Nov, 2016",Acquisition -  Market,Kansai Paint Co. Ltd,Promoter,Qty 653185,Price 371.03,% Traded 0.12,Post Tnx Hold. 74.58%
6,"09 Oct, 2017",Disposal -  Market,Aberdeen Asset Management Asia Ltd,Other,Qty 119624,Price 0,% Traded 0.02,Post Tnx Hold. 3.04%
7,"09 Oct, 2017",Disposal -  Market,Aberdeen Asset Management Asia Ltd,Other,Qty 119624,Price 0,% Traded 0.02,Post Tnx Hold. 3.04%
8,"10 May, 2016",Acquisition -  Market,Kansai Paint Co Ltd,Promoter,Qty 13708705,Price 0,% Traded 2.54,Post Tnx Hold. 73.83%
9,"26 Feb, 2016",Acquisition -  Market,Kansai Paint Co. Ltd,Promoter,Qty 10918195,Price 0,% Traded 2.02,Post Tnx Hold. 71.29%
10,"29 Oct, 2015",Disposal -  Market,Aberdeen Asset Management Asia Ltd,Other,Qty 168048,Price 0,% Traded 0.03,Post Tnx Hold. 5.05%
