,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"25 Mar, 2021",Acquisition -  Inter-se Transfer,Harsh Vardhan Goenka,Promoter,Qty 169500,Price 447.8,% Traded 0.07,Post Tnx Hold. 1.96%
1,"25 Mar, 2021",Disposal -  Inter-se Transfer,"Harsh Vardhan Goenka, Karta, Harsh Anant Goenka HUF",Promoter Group,Qty 169500,Price 447.8,% Traded 0.07,Post Tnx Hold. 0%
2,"05 Mar, 2021",Disposal -  Inter-se Transfer,Crystal India Tech Trust,Promoter Group,Qty 24991,Price 461.1,% Traded 0.01,Post Tnx Hold. 0%
3,"05 Mar, 2021",Acquisition -  Inter-se Transfer,Harsh Vardhan Goenka,Promoter,Qty 24992,Price 461.1,% Traded 0.01,Post Tnx Hold. 1.9%
4,"09 Oct, 2020",Acquisition -  Market Purchase,Mrs. E. Naga Jyothi,Immediate Relative,Qty 502,Price 269.41,% Traded 0.00,Post Tnx Hold. 0%
5,"09 Oct, 2020",Acquisition -  Market Purchase,Mrs. E. Naga Jyothi,Immediate Relative,Qty 501,Price 276.26,% Traded 0.00,Post Tnx Hold. 0%
6,"05 Dec, 2018",Acquisition -  Market,HDC Trustee Co. Ltd & others,Other,Qty 5238519,Price 0,% Traded 2.04,Post Tnx Hold. 8.97%
7,"12 Apr, 2018",Disposal -  Market,HDFC Trustee Company Ltd,Other,Qty 4493127,Price 0,% Traded 2.11,Post Tnx Hold. 6.93%
8,"10 Apr, 2018",Disposal -  Market,HDFC Trustee Company Ltd,Other,Qty 9179521,Price 0,% Traded 2.11,Post Tnx Hold. 0%
9,"16 Mar, 2017",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 145000,Price 0,% Traded 0.05,Post Tnx Hold. 3.07%
